Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
B4U62_RS02035, WP_010886403.1, , 8326.7, 7, 4.52, 0.60, 1.76296
B4U62_RS02540, WP_003234348.1, , 1249.3, 4, 0.68, 2.30, 5.2676
B4U62_RS13020, WP_003230323.1, , 1009.7, 4, 0.55, 2.84, 6.01751
B4U62_RS15025, WP_003229695.1, , 1029.7, 4, 0.56, 2.79, 5.94757
B4U62_RS17140, WP_003242894.1, , 1833.0, 4, 1.00, 1.57, 3.98001
B4U62_RS18290, WP_003228338.1, , 1541.7, 4, 0.84, 1.86, 4.54995
B4U62_RS20345, WP_003227482.1, , 1086.0, 4, 0.59, 2.64, 5.75859
B4U62_RS21090, WP_003243665.1, , 5593.7, 4, 3.04, 0.51, 1.01902
B4U62_RS00170, , , 3013.0, 3, 1.64, 0.71, 1.48775
B4U62_RS01815, WP_003246377.1, , 1279.7, 3, 0.69, 1.68, 3.39628
B4U62_RS02040, WP_003234570.1, , 3012.7, 3, 1.64, 0.71, 1.48794
B4U62_RS02495, WP_003234364.1, , 1060.3, 3, 0.58, 2.03, 3.87416
B4U62_RS04095, WP_003243771.1, , 749.7, 3, 0.41, 2.87, 4.79084
B4U62_RS05325, WP_003245791.1, , 1152.7, 3, 0.63, 1.87, 3.65993
B4U62_RS05715, WP_003245579.1, , 1081.3, 3, 0.59, 1.99, 3.82362
B4U62_RS06595, WP_003245203.1, , 1074.7, 3, 0.58, 2.00, 3.83938
B4U62_RS08865, WP_003231981.1, fliG, 809.0, 3, 0.44, 2.66, 4.58608
B4U62_RS08920, WP_003231962.1, fliY, 873.7, 3, 0.47, 2.47, 4.38098
B4U62_RS09350, WP_010886513.1, , 10591.0, 3, 5.75, 0.20, 0.0770284
B4U62_RS09360, WP_010886514.1, , 12904.3, 3, 7.01, 0.17, 0.0299679
B4U62_RS09365, WP_003245624.1, , 6006.7, 3, 3.26, 0.36, 0.45788
B4U62_RS10095, WP_004399552.1, , 1639.7, 3, 0.89, 1.31, 2.79299
B4U62_RS10765, WP_003230839.1, , 518.3, 3, 0.28, 4.16, 5.80566
B4U62_RS11835, WP_003230803.1, ilvA, 1094.0, 3, 0.59, 1.97, 3.7936
B4U62_RS12350, WP_004398550.1, , 699.3, 3, 0.38, 3.08, 4.97952
B4U62_RS13050, WP_004398669.1, , 1720.3, 3, 0.93, 1.25, 2.68024
B4U62_RS13115, WP_004398697.1, spoIVB, 1094.0, 3, 0.59, 1.97, 3.7936
B4U62_RS15020, WP_003245996.1, , 569.0, 3, 0.31, 3.79, 5.54601
B4U62_RS16270, WP_004398680.1, , 1044.3, 3, 0.57, 2.06, 3.91346
B4U62_RS16550, WP_003229050.1, menD, 1324.3, 3, 0.72, 1.63, 3.31098
B4U62_RS18055, WP_003243269.1, , 1639.7, 3, 0.89, 1.31, 2.79299
B4U62_RS18310, WP_003243394.1, , 614.3, 3, 0.33, 3.51, 5.33434
B4U62_RS18525, WP_003244548.1, , 1486.3, 3, 0.81, 1.45, 3.02805
B4U62_RS18770, WP_003242799.1, , 1246.3, 3, 0.68, 1.73, 3.46251
B4U62_RS19620, WP_003227776.1, , 866.3, 3, 0.47, 2.49, 4.40356
B4U62_RS21670, WP_003242721.1, , 1179.3, 3, 0.64, 1.83, 3.60196
