Identifier, Size, 2F1, 2F2, 2F3, 2F4, 2F5
FFJ24_RS00005, 1241.7, , , , , 
FFJ24_RS00010, 485.3, , , , , 
FFJ24_RS00015, 394.0, , , , , 
FFJ24_RS00020, 602.0, , , , , 
FFJ24_RS00025, 448.7, , , , , 
FFJ24_RS00030, 564.0, , , , , 
FFJ24_RS00035, 1294.7, , , , , 
FFJ24_RS00040, 403.7, , , , , 
FFJ24_RS00045, 316.7, , , , , 
FFJ24_RS00050, 875.3, , , , , 
FFJ24_RS00055, 860.3, , , , , 
FFJ24_RS00060, 1619.0, , , , , 
FFJ24_RS00065, 179.0, , , , , 
FFJ24_RS00070, 156.0, , , , , 
FFJ24_RS00075, 2978.0, , , , , 
FFJ24_RS00080, 213.0, , , , , 
FFJ24_RS00085, 213.0, , , , , 
FFJ24_RS00090, 1511.7, , , , , 
FFJ24_RS00095, 626.0, , , , , 
FFJ24_RS00100, 752.3, , , , , 
FFJ24_RS00105, 1056.3, , , , , 
FFJ24_RS00110, 2154.3, , , , , 
FFJ24_RS00115, 162.3, , , , , 
FFJ24_RS00120, 1363.7, , , , , 
FFJ24_RS00125, 1556.7, , , , , 
FFJ24_RS00130, 529.7, , , , , 
FFJ24_RS00135, 935.0, , , , , 
FFJ24_RS00140, 300.0, , , , , 
FFJ24_RS00145, 885.7, , , , , 
FFJ24_RS00150, 385.7, , , , , 
FFJ24_RS00155, 718.7, , , , , 
FFJ24_RS00160, 501.7, , , , , 
FFJ24_RS00165, 581.3, , , , , 
FFJ24_RS00170, 804.0, , , , , 
FFJ24_RS00175, 480.7, , , , , 
FFJ24_RS00185, 3457.7, , , , , 
FFJ24_RS00190, 932.0, , , , , 
FFJ24_RS00195, 587.0, , , , , 
FFJ24_RS00200, 772.0, , , , , 
FFJ24_RS00205, 1085.3, , , , , 
FFJ24_RS00210, 374.3, , , , , 
FFJ24_RS00215, 678.0, , , , , 
FFJ24_RS00220, 873.3, , , , , 
FFJ24_RS00225, 1035.7, , , , 400:3:0.1875:0.1875, 
FFJ24_RS00230, 1157.3, , , , , 
FFJ24_RS00235, 739.3, , , , , 
FFJ24_RS00240, 791.7, , , , , 
FFJ24_RS00245, 1301.7, , , , , 
FFJ24_RS00250, 661.7, , , , , 
FFJ24_RS00255, 493.3, , , , , 
FFJ24_RS00260, 299.0, , , , , 
FFJ24_RS00265, 2246.0, , , , , 
FFJ24_RS00270, 1017.0, , , , , 
FFJ24_RS00275, 343.0, , , , , 
FFJ24_RS00280, 1152.0, , , , , 
FFJ24_RS00285, 756.7, , , , , 
FFJ24_RS00290, 723.0, , , , , 
FFJ24_RS00295, 981.3, , , , , 
FFJ24_RS00300, 866.7, , , , , 
FFJ24_RS00305, 776.0, , , , , 
FFJ24_RS00310, 315.3, , , , , 
FFJ24_RS00315, 303.0, , , , , 
FFJ24_RS00320, 776.3, , , , , 
FFJ24_RS00325, 945.0, , , , , 
FFJ24_RS00330, 392.0, , , , , 
FFJ24_RS00335, 257.3, , , , , 
