Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
B4U62_RS01025, WP_003234986.1, , 1199.0, 160, 1.13, 95.82, 637.548
B4U62_RS01230, WP_003234898.1, skfF, 1104.7, 63, 1.04, 40.95, 199.688
B4U62_RS02515, WP_003246542.1, , 406.7, 63, 0.38, 111.22, 261.996
B4U62_RS19435, WP_010886627.1, , 526.0, 61, 0.49, 83.27, 236.221
B4U62_RS12450, WP_003230542.1, , 612.7, 59, 0.58, 69.14, 217.684
B4U62_RS20540, WP_010886637.1, qoxA, 857.0, 58, 0.81, 48.59, 193.817
B4U62_RS19425, WP_003242882.1, , 1004.7, 42, 0.94, 30.02, 121.117
B4U62_RS20770, WP_003243034.1, , 1604.3, 42, 1.51, 18.80, 102.011
B4U62_RS03535, WP_003234045.1, , 2055.0, 38, 1.93, 13.28, 79.8485
B4U62_RS19670, WP_003227757.1, , 1026.0, 37, 0.96, 25.89, 101.628
B4U62_RS13310, WP_004398632.1, , 687.0, 36, 0.65, 37.63, 112.109
B4U62_RS09375, WP_003245436.1, , 358.7, 34, 0.34, 68.06, 125.888
B4U62_RS13605, WP_003230068.1, , 384.7, 34, 0.36, 63.46, 123.533
B4U62_RS19890, WP_003227667.1, , 427.3, 33, 0.40, 55.45, 115.562
B4U62_RS09525, WP_003245299.1, , 628.3, 31, 0.59, 35.43, 95.0048
B4U62_RS14040, WP_003246092.1, , 3689.3, 30, 3.47, 5.84, 40.7148
B4U62_RS21610, WP_003243164.1, rlmH, 454.7, 29, 0.43, 45.79, 96.3345
B4U62_RS15845, WP_004398521.1, , 693.3, 26, 0.65, 26.93, 73.0344
B4U62_RS16990, WP_009968069.1, , 898.7, 26, 0.84, 20.77, 66.4733
B4U62_RS12455, WP_004399008.1, ypdA, 865.7, 23, 0.81, 19.08, 57.1375
B4U62_RS20445, WP_003242519.1, , 722.3, 22, 0.68, 21.87, 57.6493
B4U62_RS09170, WP_003245732.1, , 669.0, 21, 0.63, 22.54, 55.7313
B4U62_RS08200, WP_003232245.1, , 1464.7, 20, 1.38, 9.80, 37.2589
B4U62_RS17855, WP_009968145.1, , 821.7, 19, 0.77, 16.60, 44.9892
B4U62_RS22125, WP_020846125.1, , 638.0, 19, 0.60, 21.38, 49.6332
B4U62_RS04630, WP_010886447.1, , 935.0, 18, 0.88, 13.82, 39.5594
B4U62_RS13500, WP_004398935.1, pstC, 766.0, 18, 0.72, 16.87, 42.9979
B4U62_RS02595, WP_003234326.1, , 363.0, 17, 0.34, 33.63, 52.1146
B4U62_RS21125, WP_003244234.1, , 1372.0, 17, 1.29, 8.90, 30.4041
B4U62_RS00030, WP_003226808.1, , 1118.3, 16, 1.05, 10.27, 30.8682
B4U62_RS19175, WP_003242561.1, , 614.3, 16, 0.58, 18.70, 40.0091
B4U62_RS02075, WP_003246558.1, , 585.7, 15, 0.55, 18.39, 37.3747
B4U62_RS02485, WP_119122842.1, , 181.3, 15, 0.17, 59.41, 54.6088
B4U62_RS10135, WP_004399503.1, , 614.0, 15, 0.58, 17.54, 36.6917
B4U62_RS18490, WP_003228264.1, , 808.7, 15, 0.76, 13.32, 32.7313
B4U62_RS07475, WP_003232504.1, , 1864.3, 14, 1.75, 5.39, 18.9727
B4U62_RS10485, WP_003231260.1, , 590.7, 13, 0.55, 15.80, 30.7217
B4U62_RS16270, WP_004398680.1, , 1044.3, 13, 0.98, 8.94, 23.7085
B4U62_RS18220, WP_003243347.1, , 528.0, 13, 0.50, 17.68, 32.1258
B4U62_RS19005, WP_009969914.1, , 776.7, 13, 0.73, 12.02, 27.3247
B4U62_RS20695, WP_003242515.1, , 1155.0, 13, 1.09, 8.08, 22.4948
B4U62_RS02480, WP_003246569.1, , 1408.0, 12, 1.32, 6.12, 17.8462
B4U62_RS02855, WP_009966633.1, , 775.3, 12, 0.73, 11.11, 24.4609
B4U62_RS07030, WP_010886493.1, , 3108.3, 12, 2.92, 2.77, 9.79835
B4U62_RS08145, WP_003232271.1, , 251.0, 12, 0.24, 34.33, 37.541
B4U62_RS11255, WP_004399569.1, , 337.7, 12, 0.32, 25.51, 34.0556
B4U62_RS16015, WP_004398692.1, motP, 682.3, 12, 0.64, 12.63, 25.914
B4U62_RS19780, WP_003243488.1, , 812.0, 12, 0.76, 10.61, 23.9376
B4U62_RS02155, WP_003234507.1, , 548.0, 11, 0.51, 14.41, 25.276
B4U62_RS11625, WP_004398800.1, , 2075.0, 11, 1.95, 3.81, 11.9339
B4U62_RS18290, WP_003228338.1, , 1541.7, 10, 1.45, 4.66, 12.7085
B4U62_RS22175, WP_020846130.1, , 3586.3, 10, 3.37, 2.00, 5.97477
B4U62_RS02760, , , 167.0, 9, 0.16, 38.70, 29.6123
B4U62_RS04530, WP_003244059.1, , 931.7, 9, 0.88, 6.94, 14.7846
B4U62_RS06665, WP_010886487.1, , 488.0, 9, 0.46, 13.24, 20.232
B4U62_RS12325, WP_004398727.1, , 979.3, 9, 0.92, 6.60, 14.376
B4U62_RS20050, WP_009968321.1, , 1426.7, 9, 1.34, 4.53, 11.3636
B4U62_RS05580, WP_024571667.1, , 242.3, 8, 0.23, 23.71, 22.6464
B4U62_RS08005, WP_003245660.1, , 1305.3, 8, 1.23, 4.40, 10.0545
B4U62_RS09995, WP_004399558.1, , 528.7, 8, 0.50, 10.86, 16.6427
B4U62_RS12375, WP_003230571.1, , 600.3, 8, 0.56, 9.57, 15.686
B4U62_RS15150, WP_004398606.1, valS, 2180.7, 8, 2.05, 2.63, 6.6648
B4U62_RS16140, WP_003229234.1, , 974.3, 8, 0.92, 5.90, 12.1213
B4U62_RS18185, WP_003228377.1, , 351.3, 8, 0.33, 16.35, 19.7655
B4U62_RS00655, WP_003225764.1, nusG, 520.3, 7, 0.49, 9.66, 13.9616
B4U62_RS01315, WP_003246382.1, , 782.0, 7, 0.73, 6.43, 11.3226
B4U62_RS04255, WP_003243996.1, , 848.0, 7, 0.80, 5.93, 10.8091
B4U62_RS05480, WP_003245845.1, , 949.0, 7, 0.89, 5.30, 10.1034
B4U62_RS07070, WP_003244681.1, , 1631.7, 7, 1.53, 3.08, 6.86046
B4U62_RS07120, WP_003218470.1, , 599.3, 7, 0.56, 8.39, 13.0365
B4U62_RS14270, WP_003229892.1, , 545.3, 7, 0.51, 9.22, 13.6535
B4U62_RS16770, WP_003228960.1, , 1210.0, 7, 1.14, 4.15, 8.61393
B4U62_RS20845, WP_003244559.1, , 780.7, 7, 0.73, 6.44, 11.3332
B4U62_RS01310, WP_003246447.1, , 1338.7, 6, 1.26, 3.22, 6.26849
B4U62_RS04815, WP_003233541.1, , 275.0, 6, 0.26, 15.67, 14.9204
B4U62_RS05565, WP_003245079.1, , 801.3, 6, 0.75, 5.38, 8.92347
B4U62_RS06700, WP_010886488.1, cyoE, 868.0, 6, 0.82, 4.96, 8.49664
B4U62_RS07435, WP_003244727.1, , 927.0, 6, 0.87, 4.65, 8.14882
B4U62_RS07495, WP_003232495.1, , 708.0, 6, 0.67, 6.08, 9.59209
B4U62_RS07750, WP_003245267.1, , 1076.7, 6, 1.01, 4.00, 7.36897
B4U62_RS08135, WP_003232278.1, typA, 1435.3, 6, 1.35, 3.00, 5.92622
B4U62_RS08475, WP_003245479.1, , 392.7, 6, 0.37, 10.97, 12.877
B4U62_RS08700, WP_003232041.1, plsX, 779.3, 6, 0.73, 5.53, 9.07304
B4U62_RS09370, WP_003244857.1, , 1062.0, 6, 1.00, 4.06, 7.43985
