Identifier, Size, 0D1, 0D2, 0D3, 0D4, 0D5
DR_0001, 882.3, 700:3:0.470588:0.625;700:3:0.25:0.375;800:3:0.15:0.15;700:3:0.2:0.444444;300:3:0.0882353:0.307692;400:1:0:0.153846;700:3:0.0833333:0.266667;700:1:0.0588235:0.181818;700:3:0.0508475:0.12;700:3:0.111111:0.192308;300:1:0.0909091:0.15;700:3:0.0769231:0.159091;800:3:0.138298:0.138298;700:3:0.111111:0.192308;700:3:0.136364:0.136364;700:3:0.153846:0.153846;700:3:0.118644:0.173913;400:3:0.126667:0.15;700:3:0.141593:0.141593;300:1:0.1:0.135417;400:1:0.0444444:0.135802;300:1:0.047619:0.15;300:1:0:0.16;800:3:0.128205:0.128205;700:3:0.102564:0.136364;800:3:0.146341:0.146341;700:3:0.121951:0.121951;600:3:0.0909091:0.133333;700:3:0.181818:0.181818;300:3:0.192308:0.228571;700:3:0.0357143:0.114286;700:3:0.150538:0.150538;700:3:0.138298:0.138298;700:3:0.172727:0.19403, 300:3:0.125:0.148148;100:3:0.1875:0.1875, 400:1:0.0333333:0.136364;300:1:0.08:0.132075;400:3:0.09375:0.125;600:3:0.12069:0.12069;300:3:0.132075:0.3;400:3:0.111111:0.235294;300:3:0.118644:0.186047;400:3:0.09375:0.148148, 400:3:0.176471:0.416667;400:3:0.142857:0.142857;700:3:0.162162:0.162162;300:1:0.1:0.151515;400:1:0.0508475:0.140625;400:3:0.109589:0.109589;400:3:0.0731707:0.142857;600:1:0.0694444:0.142857;600:3:0.123288:0.142857;600:1:0.0273973:0.138889;600:1:0.056338:0.138889;600:3:0.0724638:0.121212;600:1:0.0597015:0.147059;300:3:0.101695:0.224138;600:1:0.0625:0.228571;400:3:0.191489:0.266667;100:3:0.105263:0.16129, 700:3:0.285714:0.285714;700:3:0.25:0.25;400:3:0.204082:0.204082;400:3:0.126582:0.18018;700:3:0.102941:0.110236;700:3:0.107143:0.134921;100:3:0.170213:0.170213;700:3:0.139535:0.139535;700:3:0.111111:0.175824;400:1:0.05:0.12;800:3:0.1:0.111111;400:3:0.136364:0.2;400:3:0.107143:0.2375;800:3:0.142857:0.142857;700:3:0.172414:0.172414;400:3:0.241379:0.27027;400:3:0.290323:0.290323;500:3:0.0816327:0.140187;400:3:0.0967742:0.176991
DR_0002, 722.3, 300:3:0.146853:0.235294;200:3:0.18125:0.25, 400:1:0.0769231:0.333333;300:1:0.0909091:0.153846;200:3:0.235294:0.235294, 100:3:0.176471:0.22, , 800:3:0.113208:0.113208;400:3:0.15:0.2;400:3:0.188679:0.227273
DR_0004, 558.0, , , , , 
DR_0006, 184.0, , , , , 
DR_0007, 56.3, , , , , 
DR_0008, 579.7, , , , , 
DR_0009, 49.3, , , , , 
DR_0010, 550.0, , , , , 
DR_0016, 146.3, , , , , 400:1:0.012:0.15
DR_0020, 392.0, , , , , 
DR_0022, 61.7, , , , , 
DR_0025, 267.7, , , , , 
DR_0027, 1058.7, , , , , 
DR_0028, 1170.3, , , , , 
DR_0030, 237.3, , , , , 
DR_0032, 386.7, , , , , 
DR_0038, 431.0, 600:3:0.0683761:0.202247, , , , 
DR_0039, 523.3, 600:1:0.00742574:0.121212, , , , 
DR_0042, 116.7, , , , , 
DR_0043, 110.3, , , , , 
DR_0050, 69.0, , , , , 
DR_0056, 940.3, , , , , 
DR_0058, 752.3, , , , , 
DR_0061, 594.0, , , , , 
DR_0062, 29.0, , , , , 
DR_0064, 228.0, , , , , 400:1:0.00411523:0.229965
DR_0065, 1757.7, , , , , 
DR_0066, 478.3, 300:3:0.140845:0.212598;300:3:0.142857:0.340659;300:3:0.0963855:0.172414;300:3:0.089372:0.191083, 300:1:0.0357143:0.155556;300:3:0.153846:0.182927;400:1:0.0384615:0.126582;300:1:0.0909091:0.180556;100:3:0.222222:0.318841;300:3:0.176471:0.176471;400:1:0.0638298:0.118421;400:1:0.0612245:0.118421;500:3:0.146341:0.146341, 600:3:0.131148:0.131148;400:3:0.147541:0.147541;300:3:0.277778:0.277778;400:3:0.215686:0.215686;300:3:0.255319:0.295082, 100:3:0.123894:0.294872;100:3:0.0900901:0.278481;600:3:0.0891089:0.179487;400:3:0.125:0.166667;600:3:0.0857143:0.166667, 
DR_0067, 498.3, 300:1:0.020979:0.277778;300:1:0.0427046:0.169492, 300:1:0.285714:0.285714;300:3:0.333333:0.333333, 600:3:0.160714:0.160714;300:3:0.168224:0.168224;300:1:0.0873786:0.15493, , 
DR_0071, 948.0, 700:3:0.0684932:0.142857, , 300:1:0.0506329:0.140187, , 400:1:0.00581395:0.112676
DR_0072, 194.0, , , , , 
DR_0073, 743.0, , 400:3:0.266667:0.266667;100:3:0.186813:0.186813, , , 
DR_0075, 2808.3, 700:1:0.0557621:0.155556;600:3:0.121339:0.185185;700:3:0.133621:0.240741;700:3:0.191111:0.25;700:3:0.103004:0.145455;700:3:0.160584:0.160584;700:3:0.179931:0.179931;700:3:0.158416:0.158416;100:3:0.0825083:0.201754;700:3:0.0903427:0.172131;300:3:0.0880503:0.190476;100:3:0.19544:0.238095;700:3:0.0666667:0.135593, 200:3:0.222222:0.222222;200:3:0.192308:0.192308;400:1:0.0714286:0.112245;200:3:0.178571:0.178571;200:3:0.185185:0.221053;200:3:0.24:0.24;400:3:0.153846:0.153846;500:3:0.214286:0.214286, 400:1:0.0245902:0.169811;400:1:0.00649351:0.154696;300:1:0.00689655:0.19697;400:1:0.0364964:0.161905;200:1:0.0214286:0.228261;200:1:0:0.195652;400:1:0.0198675:0.166667;300:3:0.13986:0.1875;300:3:0.110429:0.211538;300:3:0.0987654:0.159091;300:1:0.068323:0.28866;300:3:0.116564:0.154639;300:3:0.144654:0.195652;300:1:0.0774194:0.133333;300:1:0.0641026:0.252874;400:3:0.0897436:0.114943;400:1:0.0510204:0.128205;200:3:0.117904:0.237288, 400:1:0.0645161:0.180851;700:3:0.227273:0.227273;400:1:0.0350877:0.159763;300:3:0.166667:0.166667;400:3:0.173228:0.173228;400:1:0.0687023:0.155738;400:1:0.0839695:0.162393;400:1:0.111111:0.186916;400:3:0.12963:0.2;100:3:0.1875:0.1875;100:3:0.0769231:0.188235;300:1:0.025641:0.130952;700:3:0.122807:0.122807, 400:3:0.12844:0.191011;400:3:0.198758:0.214765;800:3:0.149351:0.149351;800:3:0.135802:0.135802;100:1:0.0818713:0.309524;400:1:0.0837989:0.202899;700:1:0.0641026:0.132353
DR_0077, 51.7, , , , , 
DR_0082, 215.7, , , , , 
DR_0084, 155.0, , , , , 
DR_0086, 164.0, , , , , 
DR_0087, 135.0, , , , , 
DR_0089, 179.3, 600:3:0.119718:0.35;600:3:0.12406:0.217604, 200:1:0:0.182073;200:1:0:0.186851, , , 
DR_0091, 567.7, , , , , 
DR_0093, 1168.3, , , , 400:3:0.198413:0.198413, 
DR_0095, 931.3, , , , , 
DR_0096, 496.3, 300:1:0.0393701:0.132231, , , , 
DR_0097, 248.3, , , , , 
DR_0107, 253.7, , , , , 
DR_0108, 1302.3, , , , , 
DR_0110, 231.7, , , , , 
DR_0112, 363.7, , , , , 
DR_0113, 237.3, , , , , 
DR_0115, 541.3, , 400:3:0.16:0.16;300:3:0.192308:0.192308, 300:3:0.177778:0.177778;300:3:0.159091:0.159091;300:3:0.183908:0.183908, 400:1:0.146341:0.146341;700:3:0.15:0.15;300:3:0.205128:0.205128, 
DR_0117, 438.0, , , , , 
DR_0120, 309.3, , , , , 
DR_0121, 626.0, , , 400:1:0.020979:0.131579;300:3:0.147541:0.147541;300:3:0.114035:0.2;600:3:0.137931:0.137931, , 
DR_0126, 228.3, , , , , 
DR_0129, 1371.7, , , 400:1:0.0393701:0.157895, , 
DR_0130, 352.0, , , , , 
DR_0133, 373.7, , , , , 
DR_0135, 39.7, , , , , 
DR_0136, 293.0, , , , , 
DR_0137, 48.7, , , , , 
DR_0139, 997.0, 700:3:0.0818182:0.176471, , , , 
DR_0140, 108.0, , , , , 
DR_0143, 1100.7, , , , , 
DR_0144, 173.0, , , , , 
DR_0145, 691.7, , 500:3:0.24:0.24;300:3:0.166667:0.166667, , , 
DR_0148, 1170.0, , 400:3:0.147541:0.147541, , , 
DR_0151, 552.3, , , , , 
DR_0153, 380.0, , , , , 
DR_0155, 525.0, 100:3:0.300242:0.382812;100:3:0.406915:0.506667, , , , 
DR_0156, 155.7, 600:3:0.0964912:0.23, , , , 
DR_0160, 373.3, , , , , 
DR_0163, 761.0, , , , , 
DR_0167, 338.3, , , , , 
DR_0168, 199.3, , , , , 
DR_0173, 697.7, , , , , 
DR_0175, 138.3, , , , , 
DR_0177, 290.3, , , , , 
DR_0178, 933.0, , , , , 
DR_0179, 240.7, , , , , 
