Identifier, Size, 1P1, 1P2, 1P3, 1P4, 1P5
FFI16_RS00005, 1162.7, 500:1:0.0625:0.16, , , 800:3:0.12766:0.12766, 
FFI16_RS00010, 480.0, 500:1:0.0754717:0.166667;500:3:0.0925926:0.190476, 700:1:0.0363636:0.166667;700:1:0.0612245:0.210526, 500:1:0.0138889:0.130435;500:3:0.0684932:0.238095, 500:1:0.0833333:0.166667, 
FFI16_RS00015, 821.3, , 500:1:0.0789474:0.176471, 500:3:0.142857:0.196429;700:1:0.025:0.142857, 500:1:0.107143:0.166667;300:3:0.16:0.210526, 
FFI16_RS00020, 874.0, , 800:3:0.205128:0.205128;800:3:0.205128:0.205128;600:3:0.166667:0.166667;800:3:0.166667:0.166667, 800:3:0.132353:0.153846;700:3:0.0972222:0.166667;700:3:0.0789474:0.166667, , 
FFI16_RS00025, 552.7, , , , , 
FFI16_RS00030, 277.0, , , , , 
FFI16_RS00035, 520.7, , , 700:1:0.0190476:0.125;700:3:0.100917:0.217391, , 
FFI16_RS00040, 470.0, , , , , 
FFI16_RS00045, 201.7, , , , 800:3:0.166667:0.166667, 
FFI16_RS00050, 147.0, 300:1:0.0645161:0.15, 700:1:0.0740741:0.153846, , , 
FFI16_RS00055, 527.3, , , , , 
FFI16_RS00060, 35.0, , , , , 
FFI16_RS00070, 428.7, , , , , 
FFI16_RS00075, 138.3, , , , , 
FFI16_RS00080, 656.0, 800:3:0.105263:0.222222, 600:3:0.216216:0.216216;500:1:0.0689655:0.4;500:3:0.181818:0.181818, , 800:3:0.25:0.25;700:3:0.26087:0.26087, 
FFI16_RS00085, 193.3, , , , , 
FFI16_RS00090, 1017.3, , , , , 
FFI16_RS00110, 1040.3, , , , , 
FFI16_RS00115, 739.7, , , , , 
FFI16_RS00120, 358.0, , , , , 
FFI16_RS00130, 605.3, 700:3:0.238095:0.238095;700:3:0.1:0.1875;500:3:0.181818:0.241379, , , 500:3:0.2:0.2;800:3:0.157895:0.157895, 
FFI16_RS00145, 595.0, , , , , 
FFI16_RS00150, 385.3, , , , , 
FFI16_RS00155, 690.7, , , , , 
FFI16_RS00165, 374.0, , 500:3:0.0481928:0.12963;500:3:0.146667:0.176471;500:3:0.0941176:0.153846;800:3:0.163265:0.163265, 700:1:0.056:0.144928;700:1:0.04:0.144928, , 
FFI16_RS00170, 110.7, , , , , 
FFI16_RS00175, 1294.0, , , , 800:3:0.135593:0.135593, 
FFI16_RS00185, 574.3, , , , , 
FFI16_RS00195, 879.0, , , , , 
FFI16_RS00200, 645.0, , , , , 
FFI16_RS00210, 747.0, , , , , 
FFI16_RS00215, 1026.3, , , , , 
FFI16_RS00220, 289.0, , , , , 
FFI16_RS00225, 220.7, , , , , 
FFI16_RS00245, 195.7, , , , , 
FFI16_RS00260, 947.3, , , , , 
FFI16_RS00270, 373.3, , , , , 
FFI16_RS00275, 1668.3, 100:1:0:0.173913;500:3:0.208333:0.208333, 300:1:0.0612245:0.190476;700:1:0.0816327:0.192308, , 800:3:0.217391:0.217391, 
FFI16_RS00280, 883.0, , , , 500:3:0.0930233:0.142857, 
FFI16_RS00285, 697.7, , , , , 
FFI16_RS00300, 348.7, , , , , 
FFI16_RS00315, 184.7, , , , , 
FFI16_RS00320, 1841.3, , , , , 
FFI16_RS00325, 323.3, , , , , 
FFI16_RS00330, 354.3, , , , , 
FFI16_RS00335, 497.7, , , , , 
FFI16_RS00345, 213.3, , , , , 
FFI16_RS00350, 156.0, , , , , 
FFI16_RS00355, 327.7, , , , , 
FFI16_RS00365, 457.0, , , , , 
FFI16_RS00370, 720.0, , , , , 
FFI16_RS00375, 842.0, , , , , 
FFI16_RS00380, 563.7, , , , , 
FFI16_RS00385, 197.7, , , , , 
FFI16_RS00390, 641.3, , , , , 
FFI16_RS00395, 142.0, , , , , 
FFI16_RS00400, 712.0, 100:3:0.152941:0.258065, , , , 
FFI16_RS00405, 353.0, , , , , 
FFI16_RS00420, 1007.3, , , , , 
FFI16_RS00440, 67.7, , , , , 
FFI16_RS00455, 510.7, , , , , 
FFI16_RS00460, 162.0, , , , , 
FFI16_RS00465, 929.7, , , , , 
FFI16_RS00470, 814.7, , , , , 
FFI16_RS00475, 940.0, , 700:1:0.0447761:0.136364, , , 
FFI16_RS00480, 71.0, , , , , 
FFI16_RS00485, 355.7, , , , , 
FFI16_RS00490, 817.7, , , , , 
FFI16_RS00495, 1041.7, , , , , 
FFI16_RS00500, 441.0, , , , , 
FFI16_RS00505, 489.3, , , , , 
FFI16_RS00510, 737.3, , , , , 
FFI16_RS00515, 1653.0, , , , , 
FFI16_RS00520, 1007.0, , , , , 
FFI16_RS00525, 1200.7, , , , , 
FFI16_RS00530, 761.0, , , , , 
FFI16_RS00535, 141.0, , , , , 
FFI16_RS00540, 944.3, , 500:1:0.12766:0.212121, , , 
FFI16_RS00545, 660.3, 300:1:0.010989:0.222222, , , , 
FFI16_RS00550, 681.7, , , , , 
