Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFI39_RS08215, WP_046682630.1, , 3272.7, 8, 2.71, 2.02, 4.9994
FFI39_RS18305, WP_082127721.1, , 3520.7, 8, 2.91, 1.87, 4.59047
FFI39_RS02960, WP_046682024.1, , 2853.3, 7, 2.36, 2.02, 4.53813
FFI39_RS06700, WP_052755893.1, , 2200.0, 6, 1.82, 2.25, 4.51629
FFI39_RS08435, WP_046682596.1, , 2369.0, 6, 1.96, 2.09, 4.1874
FFI39_RS08900, WP_046682295.1, , 1934.7, 6, 1.60, 2.56, 5.10572
FFI39_RS13840, WP_046685039.1, , 2395.3, 6, 1.98, 2.06, 4.13904
FFI39_RS27225, WP_138829060.1, , 3423.0, 6, 2.83, 1.45, 2.68787
FFI39_RS00160, WP_046683241.1, , 1875.0, 5, 1.55, 2.20, 3.85748
FFI39_RS01330, WP_046681806.1, mexI, 2305.7, 5, 1.91, 1.79, 3.10651
FFI39_RS02575, WP_035823774.1, , 1575.7, 5, 1.30, 2.62, 4.52851
FFI39_RS04315, WP_046682192.1, , 2221.7, 5, 1.84, 1.86, 3.23715
FFI39_RS04575, WP_046682228.1, , 1722.7, 5, 1.43, 2.39, 4.18023
FFI39_RS06605, WP_046685419.1, , 1329.3, 5, 1.10, 3.10, 5.21418
FFI39_RS09950, WP_046682444.1, , 1517.3, 5, 1.26, 2.72, 4.67843
FFI39_RS16655, WP_138829106.1, , 1986.7, 5, 1.64, 2.07, 3.64184
FFI39_RS18350, WP_046684123.1, acnD, 1973.0, 5, 1.63, 2.09, 3.66741
FFI39_RS19130, WP_046684024.1, , 1377.0, 5, 1.14, 2.99, 5.06984
FFI39_RS19600, WP_138829168.1, , 1732.3, 5, 1.43, 2.38, 4.15881
FFI39_RS20060, WP_058051234.1, , 2401.7, 5, 1.99, 1.72, 2.96514
FFI39_RS20430, WP_138829161.1, , 1630.7, 5, 1.35, 2.53, 4.39355
FFI39_RS22920, WP_034754154.1, , 1599.0, 5, 1.32, 2.58, 4.47062
FFI39_RS23510, WP_046686041.1, , 1936.3, 5, 1.60, 2.13, 3.73709
FFI39_RS25260, WP_046684273.1, , 2063.3, 5, 1.71, 2.00, 3.50308
FFI39_RS25845, WP_046684370.1, , 1466.7, 5, 1.21, 2.81, 4.81426
FFI39_RS00175, WP_046683238.1, , 1549.3, 4, 1.28, 2.13, 3.18579
FFI39_RS00240, WP_046683228.1, , 856.3, 4, 0.71, 3.85, 5.11531
FFI39_RS00995, WP_082127494.1, , 955.0, 4, 0.79, 3.45, 4.74256
FFI39_RS05460, WP_052755704.1, , 2855.0, 4, 2.36, 1.15, 1.54384
FFI39_RS05885, WP_138829051.1, , 1091.7, 4, 0.90, 3.02, 4.2952
FFI39_RS08550, WP_082127578.1, , 2674.0, 4, 2.21, 1.23, 1.69702
FFI39_RS09000, WP_046682311.1, , 1131.3, 4, 0.94, 2.91, 4.17803
FFI39_RS09275, WP_046682341.1, , 970.7, 4, 0.80, 3.40, 4.68743
FFI39_RS09390, WP_052755510.1, , 2338.7, 4, 1.94, 1.41, 2.02916
FFI39_RS09450, WP_138828876.1, , 3292.0, 4, 2.72, 1.00, 1.23329
FFI39_RS11755, WP_046683658.1, , 1174.3, 4, 0.97, 2.81, 4.0563
FFI39_RS13290, WP_046684960.1, , 2000.3, 4, 1.66, 1.65, 2.44588
FFI39_RS13935, WP_052755844.1, , 2577.3, 4, 2.13, 1.28, 1.78587
FFI39_RS14760, WP_046685177.1, , 1448.3, 4, 1.20, 2.28, 3.39164
FFI39_RS14925, WP_144295915.1, , 1789.3, 4, 1.48, 1.84, 2.76039
FFI39_RS15215, WP_046685242.1, , 1186.0, 4, 0.98, 2.78, 4.02411
FFI39_RS16100, WP_034756044.1, , 1339.0, 4, 1.11, 2.46, 3.63621
FFI39_RS16790, WP_138829138.1, , 973.3, 4, 0.81, 3.39, 4.6784
FFI39_RS17530, WP_046682993.1, , 1633.7, 4, 1.35, 2.02, 3.02676
FFI39_RS18465, WP_046684106.1, , 1842.3, 4, 1.52, 1.79, 2.67673
FFI39_RS19095, WP_082127711.1, , 1506.7, 4, 1.25, 2.19, 3.27044
FFI39_RS19245, WP_046684007.1, urtB, 1257.7, 4, 1.04, 2.62, 3.83505
FFI39_RS20050, WP_046684573.1, , 2076.7, 4, 1.72, 1.59, 2.34326
FFI39_RS20090, WP_046683891.1, , 964.7, 4, 0.80, 3.42, 4.70837
FFI39_RS21270, WP_144295917.1, , 6271.0, 4, 5.19, 0.53, 0.273578
FFI39_RS21995, WP_046685837.1, mutS, 2115.0, 4, 1.75, 1.56, 2.29382
FFI39_RS22305, WP_046685880.1, , 1374.3, 4, 1.14, 2.40, 3.55454
FFI39_RS23075, WP_046685984.1, , 2622.7, 4, 2.17, 1.26, 1.74351
FFI39_RS23620, WP_046686286.1, , 1491.7, 4, 1.23, 2.21, 3.30098
FFI39_RS23650, WP_046686060.1, , 1129.3, 4, 0.93, 2.92, 4.18382
FFI39_RS24150, WP_046686139.1, rpoD, 1822.7, 4, 1.51, 1.81, 2.70728
FFI39_RS24320, WP_046686165.1, , 2342.3, 4, 1.94, 1.41, 2.02521
FFI39_RS24830, WP_138828988.1, , 1670.3, 4, 1.38, 1.97, 2.96113
FFI39_RS25090, WP_046684252.1, nirK, 1212.3, 4, 1.00, 2.72, 3.95317
FFI39_RS25720, WP_046684350.1, , 1388.7, 4, 1.15, 2.37, 3.52198
FFI39_RS27285, WP_138828965.1, , 1059.3, 4, 0.88, 3.11, 4.39495
FFI39_RS00005, WP_034754339.1, dnaA, 1175.3, 3, 0.97, 2.10, 2.58558
FFI39_RS00480, WP_046683291.1, , 1535.3, 3, 1.27, 1.61, 1.99372
FFI39_RS00490, WP_035823092.1, tatC, 568.7, 3, 0.47, 4.35, 4.40126
FFI39_RS00605, WP_034753922.1, , 703.7, 3, 0.58, 3.51, 3.84375
FFI39_RS00740, WP_046683169.1, aceK, 1454.3, 3, 1.20, 1.70, 2.10948
FFI39_RS00960, WP_046681747.1, bioB, 843.7, 3, 0.70, 2.93, 3.38339
FFI39_RS01160, WP_138828954.1, ccoG, 1068.7, 3, 0.88, 2.31, 2.80796
FFI39_RS01220, WP_046682044.1, , 1687.7, 3, 1.40, 1.47, 1.7974
FFI39_RS01350, WP_034752585.1, , 718.0, 3, 0.59, 3.44, 3.792
FFI39_RS01395, WP_046681816.1, , 792.0, 3, 0.66, 3.12, 3.54215
FFI39_RS01530, WP_046681838.1, , 1283.3, 3, 1.06, 1.93, 2.38518
FFI39_RS03170, WP_138829055.1, , 6541.0, 3, 5.41, 0.38, 0.0985705
FFI39_RS03240, WP_046682102.1, , 934.7, 3, 0.77, 2.65, 3.13038
FFI39_RS03525, WP_046681676.1, msrP, 822.0, 3, 0.68, 3.01, 3.44858
