Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFJ24_RS12850, WP_138821870.1, , 455.7, 76, 0.14, 147.85, 407.979
FFJ24_RS17985, , , 133.0, 34, 0.04, 226.63, 198.322
FFJ24_RS15120, WP_145315344.1, , 6463.3, 29, 1.93, 3.98, 54.0664
FFJ24_RS04430, WP_138822925.1, , 924.3, 28, 0.28, 26.86, 104.216
FFJ24_RS01885, WP_138820543.1, , 525.7, 25, 0.16, 42.16, 104.458
FFJ24_RS15075, WP_138818002.1, , 1783.7, 22, 0.53, 10.93, 62.8498
FFJ24_RS04715, WP_138823024.1, , 665.0, 21, 0.20, 28.00, 79.5286
FFJ24_RS12165, , , 124.0, 20, 0.04, 142.99, 108.303
FFJ24_RS21985, WP_138819283.1, , 1394.0, 20, 0.42, 12.72, 60.2707
FFJ24_RS04410, , , 185.0, 17, 0.06, 81.46, 82.7982
FFJ24_RS24015, WP_138819634.1, , 1359.0, 17, 0.41, 11.09, 49.2283
FFJ24_RS13075, WP_138821909.1, , 766.0, 16, 0.23, 18.52, 54.4982
FFJ24_RS03355, WP_138823969.1, , 2608.7, 13, 0.78, 4.42, 26.5273
FFJ24_RS14260, WP_138822194.1, , 1073.7, 13, 0.32, 10.73, 37.6437
FFJ24_RS10955, WP_138821537.1, , 501.0, 12, 0.15, 21.23, 42.9285
FFJ24_RS12170, , , 174.0, 12, 0.05, 61.14, 55.5291
FFJ24_RS22620, WP_138819391.1, , 3040.0, 12, 0.91, 3.50, 21.9898
FFJ24_RS24385, WP_138819697.1, , 2591.0, 12, 0.77, 4.11, 23.7845
FFJ24_RS12415, WP_138821787.1, purB, 1159.7, 11, 0.35, 8.41, 29.4899
FFJ24_RS17980, WP_145315349.1, , 825.7, 11, 0.25, 11.81, 33.1352
FFJ24_RS23590, WP_138819561.1, , 731.7, 11, 0.22, 13.33, 34.439
FFJ24_RS24735, WP_138819760.1, , 518.0, 11, 0.15, 18.83, 38.1799
FFJ24_RS25530, WP_138819969.1, , 1303.3, 11, 0.39, 7.48, 28.2449
FFJ24_RS25885, WP_121287812.1, , 376.0, 11, 0.11, 25.94, 41.6654
FFJ24_RS02205, WP_138820599.1, rodA, 974.0, 10, 0.29, 9.10, 27.7231
FFJ24_RS06230, WP_138823552.1, , 1393.7, 10, 0.42, 6.36, 24.2536
FFJ24_RS09415, WP_138821259.1, , 1090.0, 10, 0.33, 8.13, 26.6293
FFJ24_RS17935, WP_138818487.1, , 394.3, 10, 0.12, 22.48, 36.6091
FFJ24_RS01125, WP_138820411.1, , 2019.0, 9, 0.60, 3.95, 17.9014
FFJ24_RS05845, WP_138823422.1, , 978.7, 8, 0.29, 7.25, 20.7091
FFJ24_RS23715, WP_138819582.1, , 509.3, 8, 0.15, 13.93, 25.8104
FFJ24_RS13285, WP_138821946.1, clpB, 2149.7, 7, 0.64, 2.89, 12.1906
FFJ24_RS13345, WP_138821958.1, , 2090.0, 7, 0.62, 2.97, 12.3723
FFJ24_RS15345, WP_138818049.1, , 1230.7, 7, 0.37, 5.04, 15.8565
FFJ24_RS18620, WP_029274186.1, , 629.3, 7, 0.19, 9.86, 20.3952
FFJ24_RS18970, WP_138818751.1, argB, 646.0, 7, 0.19, 9.61, 20.2162
FFJ24_RS21285, WP_138819162.1, , 735.0, 7, 0.22, 8.44, 19.3359
FFJ24_RS21640, WP_138819227.1, , 674.3, 7, 0.20, 9.20, 19.9235
FFJ24_RS09545, WP_138821281.1, , 1091.0, 6, 0.33, 4.88, 13.5897
FFJ24_RS09550, WP_138821282.1, , 2685.7, 6, 0.80, 1.98, 8.58829
FFJ24_RS11090, WP_138821561.1, pdeM, 578.3, 6, 0.17, 9.20, 17.2677
FFJ24_RS11575, WP_138821648.1, , 379.3, 6, 0.11, 14.02, 19.7475
FFJ24_RS13840, WP_138822044.1, , 1169.7, 6, 0.35, 4.55, 13.1918
FFJ24_RS14935, WP_138817991.1, , 1462.0, 6, 0.44, 3.64, 11.9277
FFJ24_RS20405, WP_138818996.1, , 1401.7, 6, 0.42, 3.79, 12.1651
FFJ24_RS23940, WP_138819623.1, , 719.7, 6, 0.21, 7.39, 15.9913
FFJ24_RS00495, WP_138820239.1, , 2013.7, 5, 0.60, 2.20, 7.83039
FFJ24_RS02425, WP_138820629.1, , 1319.0, 5, 0.39, 3.36, 9.77524
FFJ24_RS04435, WP_138823996.1, , 1144.3, 5, 0.34, 3.87, 10.4426
FFJ24_RS10545, WP_138821464.1, , 1077.7, 5, 0.32, 4.11, 10.726
FFJ24_RS12345, WP_138821777.1, , 1874.3, 5, 0.56, 2.36, 8.15492
FFJ24_RS17455, WP_121283861.1, secY, 1035.3, 5, 0.31, 4.28, 10.9162
FFJ24_RS18305, WP_138818600.1, , 575.3, 5, 0.17, 7.70, 13.7402
FFJ24_RS18905, WP_138818739.1, , 925.0, 5, 0.28, 4.79, 11.4522
FFJ24_RS19045, WP_138818765.1, , 1984.3, 5, 0.59, 2.23, 7.89673
FFJ24_RS20845, WP_138819078.1, , 2094.3, 5, 0.63, 2.12, 7.6539
FFJ24_RS22730, WP_138819410.1, , 1776.3, 5, 0.53, 2.50, 8.39939
FFJ24_RS01115, WP_138820409.1, , 756.7, 4, 0.23, 4.69, 9.3097
FFJ24_RS05455, WP_138823288.1, , 389.0, 4, 0.12, 9.12, 11.884
FFJ24_RS08460, WP_138821084.1, , 1702.0, 4, 0.51, 2.08, 6.29019
FFJ24_RS12900, WP_138821879.1, trpD, 870.3, 4, 0.26, 4.07, 8.77712
FFJ24_RS13425, WP_138821973.1, , 867.3, 4, 0.26, 4.09, 8.79022
FFJ24_RS20475, WP_138819009.1, , 1033.0, 4, 0.31, 3.43, 8.13005
FFJ24_RS22250, WP_138819329.1, , 1095.7, 4, 0.33, 3.24, 7.90915
FFJ24_RS03060, WP_138822444.1, , 821.0, 3, 0.25, 3.24, 6.19347
FFJ24_RS10780, WP_138821506.1, , 467.7, 3, 0.14, 5.69, 7.80325
FFJ24_RS11815, WP_138821689.1, , 669.3, 3, 0.20, 3.97, 6.77277
FFJ24_RS24885, WP_138819782.1, , 487.3, 3, 0.15, 5.46, 7.68445
