Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
DR_0001, NP_293727.1, , 882.3, 69, 0.79, 53.36, 243.641
DR_0075, NP_293801.1, , 2808.3, 49, 2.50, 11.90, 102.125
DR_A0302, NP_285625.1, , 633.0, 29, 0.56, 31.26, 88.4404
DR_0494, NP_294217.1, , 376.0, 26, 0.33, 47.18, 90.0444
DR_2065, NP_295788.1, , 852.0, 24, 0.76, 19.22, 62.1516
DR_0269, NP_293992.1, , 346.0, 23, 0.31, 45.35, 78.9908
DR_0806, NP_294530.1, , 636.0, 21, 0.57, 22.53, 57.8697
DR_0464, NP_294187.1, , 1454.0, 20, 1.29, 9.38, 38.4094
DR_2413, NP_296134.1, , 948.3, 20, 0.84, 14.39, 46.5298
DR_0364, NP_294087.1, , 735.3, 18, 0.65, 16.70, 44.646
DR_A0312, NP_285635.1, , 374.0, 17, 0.33, 31.01, 52.5188
DR_r08, , , 225.0, 17, 0.20, 51.55, 61.0323
DR_0523, NP_294246.1, , 418.7, 16, 0.37, 26.07, 46.8155
DR_1469, NP_295192.1, , 1053.7, 16, 0.94, 10.36, 32.5798
DR_0513, NP_294236.1, , 1068.3, 14, 0.95, 8.94, 26.7825
DR_A0231, NP_285554.1, , 908.3, 14, 0.81, 10.52, 28.9216
DR_A0236, NP_285559.1, , 340.0, 14, 0.30, 28.09, 42.2074
DR_1570, NP_295293.1, , 846.7, 13, 0.75, 10.48, 26.9281
DR_2200, NP_295922.1, , 1326.3, 13, 1.18, 6.69, 21.4881
DR_2367, NP_296088.1, , 1324.0, 13, 1.18, 6.70, 21.5088
DR_2488, NP_296208.1, , 1165.0, 13, 1.04, 7.61, 23.0413
DR_A0212, NP_296362.1, , 682.3, 13, 0.61, 13.00, 29.5991
DR_0196, NP_293920.1, , 730.3, 12, 0.65, 11.21, 25.7554
DR_1117, NP_294841.1, , 1773.3, 12, 1.58, 4.62, 15.961
DR_A0060, NP_285383.1, , 292.0, 12, 0.26, 28.04, 36.3966
DR_0340, NP_294063.1, , 229.0, 11, 0.20, 32.77, 35.1846
DR_0663, NP_294386.1, , 477.7, 11, 0.43, 15.71, 27.2992
DR_0685, NP_294408.1, , 1701.7, 11, 1.51, 4.41, 14.3168
DR_0858, NP_294582.1, , 584.7, 11, 0.52, 12.84, 25.1629
DR_0888, NP_294612.1, , 580.7, 11, 0.52, 12.92, 25.2352
DR_1145, NP_294869.1, , 1483.3, 11, 1.32, 5.06, 15.6513
