Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFI16_RS09990, WP_138815143.1, , 5887.3, 8, 2.53, 1.10, 5.38604
FFI16_RS10540, WP_138815232.1, , 7770.0, 8, 3.34, 0.83, 3.85692
FFI16_RS07540, WP_138814748.1, , 4792.3, 7, 2.06, 1.18, 5.23616
FFI16_RS14015, WP_138815791.1, , 9752.3, 7, 4.20, 0.58, 2.02505
FFI16_RS09720, WP_138815096.1, , 9282.3, 6, 3.99, 0.52, 1.54282
FFI16_RS14085, WP_144298325.1, , 5645.0, 5, 2.43, 0.72, 2.30804
FFI16_RS24620, WP_138817198.1, gltB, 3489.0, 5, 1.50, 1.16, 3.98366
FFI16_RS26040, WP_144298328.1, , 13887.3, 5, 5.97, 0.29, 0.340459
FFI16_RS06050, WP_138814518.1, , 9795.7, 4, 4.21, 0.33, 0.498965
FFI16_RS08285, WP_138814867.1, , 2789.3, 4, 1.20, 1.16, 3.3885
FFI16_RS08875, WP_138814951.1, clpA, 1749.7, 4, 0.75, 1.85, 4.90879
FFI16_RS12715, WP_138817538.1, , 2659.3, 4, 1.14, 1.22, 3.53661
FFI16_RS12965, WP_138817494.1, treS, 2666.0, 4, 1.15, 1.22, 3.52875
FFI16_RS13025, WP_138817484.1, , 2302.3, 4, 0.99, 1.41, 3.99515
FFI16_RS20980, WP_138816668.1, , 3763.7, 4, 1.62, 0.86, 2.50763
FFI16_RS21215, WP_138816705.1, , 2298.0, 4, 0.99, 1.41, 4.0012
FFI16_RS27655, WP_138813323.1, rep, 1654.0, 4, 0.71, 1.96, 5.1017
FFI16_RS00930, WP_138813812.1, infB, 1925.3, 3, 0.83, 1.26, 2.96491
FFI16_RS02365, WP_138813993.1, , 1585.3, 3, 0.68, 1.53, 3.44255
FFI16_RS02915, WP_138814071.1, gcvP, 2162.7, 3, 0.93, 1.12, 2.68906
FFI16_RS03080, WP_138814094.1, , 1664.3, 3, 0.72, 1.46, 3.3212
FFI16_RS03090, WP_138814096.1, , 3727.3, 3, 1.60, 0.65, 1.52547
FFI16_RS03160, WP_056858630.1, , 758.3, 3, 0.33, 3.21, 5.3951
FFI16_RS04910, WP_138814361.1, , 973.0, 3, 0.42, 2.50, 4.71512
FFI16_RS06850, WP_138814648.1, , 983.0, 3, 0.42, 2.47, 4.6876
FFI16_RS07910, WP_138814808.1, , 1140.7, 3, 0.49, 2.13, 4.29091
FFI16_RS08680, WP_138814927.1, , 885.0, 3, 0.38, 2.75, 4.97171
FFI16_RS12040, WP_138817653.1, , 2290.0, 3, 0.99, 1.06, 2.55643
FFI16_RS12185, WP_138817626.1, , 1745.3, 3, 0.75, 1.39, 3.20375
FFI16_RS12405, WP_138817591.1, , 4128.0, 3, 1.78, 0.59, 1.33599
FFI16_RS13050, WP_138817766.1, , 4671.3, 3, 2.01, 0.52, 1.1212
FFI16_RS13230, WP_138815933.1, , 1336.0, 3, 0.57, 1.82, 3.87805
FFI16_RS14640, WP_138815693.1, , 1103.7, 3, 0.47, 2.20, 4.3782
FFI16_RS15325, WP_138815592.1, , 1672.3, 3, 0.72, 1.45, 3.3093
FFI16_RS16615, WP_138815979.1, , 2077.7, 3, 0.89, 1.17, 2.78327
FFI16_RS17750, WP_138816123.1, kdpB, 1531.7, 3, 0.66, 1.59, 3.52905
FFI16_RS18490, WP_056857285.1, topA, 2131.7, 3, 0.92, 1.14, 2.72287
FFI16_RS18535, WP_138816236.1, , 1415.3, 3, 0.61, 1.72, 3.72986
FFI16_RS19490, WP_138816395.1, , 1207.3, 3, 0.52, 2.01, 4.1416
FFI16_RS19605, WP_138816413.1, , 784.0, 3, 0.34, 3.10, 5.30326
FFI16_RS19855, WP_138816447.1, , 2403.7, 3, 1.03, 1.01, 2.44573
FFI16_RS20185, WP_017137101.1, lysS, 1221.3, 3, 0.53, 1.99, 4.11141
FFI16_RS20915, WP_138816643.1, , 1092.3, 3, 0.47, 2.23, 4.40576
FFI16_RS21245, WP_138816709.1, , 1837.0, 3, 0.79, 1.32, 3.0785
FFI16_RS21530, WP_138816754.1, , 974.7, 3, 0.42, 2.50, 4.71042
FFI16_RS22995, WP_138816955.1, , 996.3, 3, 0.43, 2.44, 4.65148
FFI16_RS24215, WP_138817130.1, cytX, 1022.0, 3, 0.44, 2.38, 4.58318
FFI16_RS25885, WP_138817372.1, , 7829.0, 3, 3.37, 0.31, 0.424625
FFI16_RS28930, WP_017139412.1, , 1102.7, 3, 0.47, 2.21, 4.3806
FFI16_RS29875, WP_138813675.1, , 759.0, 3, 0.33, 3.21, 5.39255
FFI16_RS29940, WP_138813665.1, , 1723.3, 3, 0.74, 1.41, 3.23499
