Position, Gene, Allele, Annotation, Test statistic, P-value, Deletion index, Fold reduction, Deletion P-value, Duplication index, Fold increase, Duplication pvalue, Passed?, AC:100, DP:100, AC:200, DP:200, AC:300, DP:300, AC:400, DP:400, AC:500, DP:500, AC:600, DP:600, AC:700, DP:700, AC:800, DP:800, AC:900, DP:900
4954, FFI16_RS00015, A->G, synonymous, 0.328125399398, 0.1318, 9, 1, 1, 1, 1, 1, FAIL, 3.0, 110.0, 1.0, 65.0, 2.0, 53.0, 6.0, 32.0, 3.0, 43.0, 5.0, 50.0, 9.0, 69.0, 4.0, 44.0, 5.0, 28.0
4959, FFI16_RS00015, C->G, synonymous, 0.554494169227, 0.095, 9, 1, 1, 1, 1, 1, PASS, 3.0, 102.0, 0.0, 69.0, 1.0, 51.0, 3.0, 32.0, 1.0, 45.0, 5.0, 48.0, 10.0, 63.0, 5.0, 46.0, 5.0, 28.0
4962, FFI16_RS00015, A->C, missense, 0.0330549315819, 0.4002, 9, 1, 1, 1, 1, 1, FAIL, 10.0, 100.0, 7.0, 69.0, 4.0, 51.0, 4.0, 32.0, 8.0, 44.0, 9.0, 48.0, 16.0, 63.0, 5.0, 45.0, 6.0, 27.0
5231, FFI16_RS00015, A->C, synonymous, 0.528645952471, 0.1942, 9, 1, 1, 1, 1, 1, FAIL, 2.0, 124.0, 1.0, 54.0, 0.0, 73.0, 1.0, 32.0, 1.0, 36.0, 1.0, 30.0, 5.0, 99.0, 7.0, 60.0, 4.0, 27.0
5277, FFI16_RS00015, A->C, synonymous, 0.496899098889, 0.12, 9, 1, 1, 1, 1, 1, FAIL, 1.0, 141.0, 1.0, 59.0, 3.0, 74.0, 1.0, 36.0, 1.0, 36.0, 3.0, 45.0, 10.0, 89.0, 6.0, 61.0, 5.0, 32.0
5341, FFI16_RS00015, T->G, missense, 2.02360144604, 0.0543, 9, 1, 1, 1, 1, 1, PASS, 0.0, 148.0, 2.0, 62.0, 0.0, 71.0, 0.0, 39.0, 1.0, 35.0, 0.0, 51.0, 2.0, 80.0, 6.0, 61.0, 5.0, 30.0
5354, FFI16_RS00015, T->G, synonymous, 2.82644067309, 0.1029, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 155.0, 1.0, 64.0, 0.0, 72.0, 0.0, 39.0, 0.0, 39.0, 0.0, 54.0, 2.0, 82.0, 3.0, 59.0, 4.0, 27.0
10817, FFI16_RS00035, T->C, synonymous, 1.98996404884, 0.0066, 9, 1, 1, 1, 1, 1, PASS, 0.0, 212.0, 0.0, 122.0, 0.0, 123.0, 0.0, 112.0, 0.0, 104.0, 25.0, 166.0, 17.0, 169.0, 44.0, 113.0, 29.0, 54.0
11070, FFI16_RS00035, G->T, missense, 0.0220180151916, 0.3971, 9, 1, 1, 1, 1, 1, FAIL, 10.0, 182.0, 7.0, 74.0, 6.0, 106.0, 3.0, 44.0, 8.0, 42.0, 5.0, 49.0, 13.0, 101.0, 6.0, 64.0, 1.0, 42.0
11084, FFI16_RS00035, G->C, synonymous, -0.0697268373413, 0.3738, 9, 1, 1, 1, 1, 1, FAIL, 8.0, 171.0, 6.0, 72.0, 3.0, 117.0, 1.0, 45.0, 7.0, 44.0, 2.0, 51.0, 7.0, 99.0, 3.0, 60.0, 2.0, 38.0
11093, FFI16_RS00035, G->T, synonymous, -0.053784073859, 0.3791, 9, 1, 1, 1, 1, 1, FAIL, 7.0, 169.0, 4.0, 71.0, 3.0, 115.0, 2.0, 45.0, 7.0, 42.0, 4.0, 48.0, 11.0, 99.0, 2.0, 57.0, 2.0, 36.0
11106, FFI16_RS00035, T->C, missense, -0.14899767081, 0.3914, 9, 1, 1, 1, 1, 1, FAIL, 12.0, 172.0, 4.0, 79.0, 4.0, 116.0, 2.0, 44.0, 8.0, 45.0, 3.0, 49.0, 8.0, 98.0, 0.0, 58.0, 3.0, 38.0
12178, FFI16_RS29895, G->C, missense, -0.324887306288, 0.3805, 9, 1, 1, 1, 1, 1, FAIL, 8.0, 112.0, 8.0, 67.0, 3.0, 69.0, 7.0, 36.0, 3.0, 29.0, 5.0, 55.0, 9.0, 99.0, 3.0, 71.0, 4.0, 48.0
12182, FFI16_RS29895, C->A, missense, 0.0290387615467, 0.3903, 9, 1, 1, 1, 1, 1, FAIL, 3.0, 117.0, 4.0, 73.0, 1.0, 66.0, 7.0, 37.0, 2.0, 29.0, 2.0, 54.0, 9.0, 98.0, 3.0, 73.0, 0.0, 49.0
12214, FFI16_RS29895, T->G, missense, -0.0984622925192, 0.3854, 9, 1, 1, 1, 1, 1, FAIL, 10.0, 100.0, 7.0, 68.0, 3.0, 75.0, 8.0, 36.0, 6.0, 36.0, 3.0, 53.0, 8.0, 94.0, 13.0, 77.0, 6.0, 49.0
12665, FFI16_RS29895, T->C, missense, 0.997355962621, 0.1012, 9, 1, 1, 1, 1, 1, FAIL, 0.0, 173.0, 0.0, 57.0, 0.0, 44.0, 0.0, 35.0, 0.0, 49.0, 16.0, 51.0, 95.0, 149.0, 61.0, 82.0, 23.0, 44.0
12775, FFI16_RS00050, C->A, missense, 0.391587738648, 0.2689, 9, 1, 1, 1, 1, 1, FAIL, 2.0, 73.0, 1.0, 26.0, 0.0, 37.0, 2.0, 11.0, 0.0, 7.0, 2.0, 26.0, 5.0, 42.0, 2.0, 34.0, 1.0, 15.0
12782, FFI16_RS00050, A->C, synonymous, -0.444673185638, 0.3966, 9, 1, 1, 1, 1, 1, FAIL, 2.0, 70.0, 2.0, 27.0, 1.0, 39.0, 1.0, 14.0, 1.0, 13.0, 0.0, 29.0, 2.0, 41.0, 2.0, 36.0, 4.0, 17.0
12794, FFI16_RS00050, A->C, missense, 0.695440052649, 0.1543, 9, 1, 1, 1, 1, 1, FAIL, 3.0, 148.0, 3.0, 52.0, 1.0, 41.0, 1.0, 18.0, 0.0, 17.0, 6.0, 37.0, 8.0, 50.0, 3.0, 42.0, 1.0, 19.0
12797, FFI16_RS00050, T->A, missense, 0.513842634546, 0.1366, 9, 1, 1, 1, 1, 1, FAIL, 5.0, 151.0, 0.0, 54.0, 1.0, 41.0, 3.0, 18.0, 2.0, 17.0, 4.0, 37.0, 5.0, 53.0, 2.0, 44.0, 2.0, 20.0
12800, FFI16_RS00050, G->T, missense, 0.0809438922833, 0.3851, 9, 1, 1, 1, 1, 1, FAIL, 12.0, 167.0, 1.0, 60.0, 0.0, 43.0, 2.0, 23.0, 4.0, 19.0, 7.0, 46.0, 4.0, 69.0, 7.0, 53.0, 1.0, 23.0
12803, FFI16_RS00050, C->G, missense, -0.227404690697, 0.39, 9, 1, 1, 1, 1, 1, FAIL, 6.0, 170.0, 3.0, 64.0, 2.0, 45.0, 4.0, 24.0, 1.0, 20.0, 4.0, 47.0, 5.0, 75.0, 2.0, 58.0, 3.0, 24.0
12819, FFI16_RS00050, T->G, synonymous, 0.604199250698, 0.1465, 9, 1, 1, 1, 1, 1, FAIL, 3.0, 173.0, 0.0, 70.0, 0.0, 48.0, 2.0, 28.0, 1.0, 24.0, 4.0, 53.0, 10.0, 80.0, 5.0, 65.0, 5.0, 28.0
