Identifier, Size, 0P1, 0P2, 0P3, 0P4, 0P5
FFI16_RS00005, 1162.7, , , , 600:1:0.0298507:0.531915, 
FFI16_RS00010, 480.0, , , 300:1:0.0746269:0.2, , 
FFI16_RS00015, 821.3, 700:3:0.166667:0.166667, 400:1:0.0606061:0.263158;400:1:0.09375:0.210526;400:1:0.107692:0.285714;800:3:0.0967742:0.15, 300:1:0.08:0.272727, , 500:3:0.170213:0.277778
FFI16_RS00020, 874.0, , , 700:3:0.2:0.2;100:2:0.909091:0.934426, , 700:1:0.0454545:0.15625
FFI16_RS00025, 552.7, , 600:1:0.0232558:0.137931, , , 500:1:0.0106383:0.130435
FFI16_RS00030, 277.0, , , , , 
FFI16_RS00035, 520.7, , , 600:3:0.121951:0.25;700:3:0.116279:0.222222, 600:1:0.0208333:0.307692;600:1:0.0208333:0.307692, 
FFI16_RS00040, 470.0, , 300:3:0.432258:0.566667, , , 
FFI16_RS00045, 201.7, , , , 700:3:0.151515:0.151515, 
FFI16_RS00050, 147.0, 500:1:0.0526316:0.162162;300:1:0.1:0.166667, 400:1:0.0862069:0.272727;300:3:0.091954:0.375;400:1:0.0561798:0.166667;300:1:0.0793651:0.25, 600:3:0.186047:0.2;400:3:0.169811:0.272727;400:1:0.0483871:0.153846, 700:3:0.176471:0.176471;400:1:0.0625:0.153846, 500:1:0.0674157:0.166667;600:1:0.0786517:0.2;600:1:0:0.15
FFI16_RS00055, 527.3, , , , , 
FFI16_RS00060, 35.0, , , , , 
FFI16_RS00070, 428.7, , , , , 
FFI16_RS00075, 138.3, , , , , 
FFI16_RS00080, 656.0, , 400:1:0.0649351:0.2;700:3:0.157143:0.222222;400:3:0.169231:0.25;800:3:0.078125:0.2;300:3:0.21875:0.4;700:3:0.109589:0.2, 600:3:0.148148:0.153846;400:1:0.047619:0.222222;400:3:0.210526:0.222222;400:3:0.1:0.333333, , 300:3:0.308642:0.4375
FFI16_RS00085, 193.3, 800:3:0.2:0.2, , , , 
FFI16_RS00090, 1017.3, , , , , 700:3:0.0714286:0.152174
FFI16_RS00110, 1040.3, 800:3:0.181818:0.181818, 200:2:0.914439:0.958763, , , 
FFI16_RS00115, 739.7, , , , , 
FFI16_RS00120, 358.0, , , , , 
FFI16_RS00130, 605.3, , , , , 
FFI16_RS00145, 595.0, , , , , 
FFI16_RS00150, 385.3, , 600:3:0.305882:0.418182, , , 
FFI16_RS00155, 690.7, , , , , 
FFI16_RS00165, 374.0, , , 700:3:0.130435:0.2;700:3:0.105263:0.2, 700:3:0.152174:0.152174;700:3:0.153846:0.181818, 700:1:0.0655738:0.142857;700:3:0.107692:0.15;700:1:0.0597015:0.15
FFI16_RS00170, 110.7, , , , , 
FFI16_RS00175, 1294.0, , , , , 
FFI16_RS00185, 574.3, , , , , 
FFI16_RS00195, 879.0, , 100:1:0.0542169:0.276923, , , 
FFI16_RS00200, 645.0, , , , , 500:1:0.0183486:0.12
FFI16_RS00210, 747.0, , 300:3:0.371728:0.371728, , 600:1:0.020202:0.190476, 
FFI16_RS00215, 1026.3, , , 200:3:0.371429:0.371429, , 
FFI16_RS00220, 289.0, , , , , 500:3:0.387755:0.622642
FFI16_RS00225, 220.7, , , , , 
FFI16_RS00245, 195.7, , , , 100:3:0.126761:0.217391, 500:1:0.0564516:0.190476
FFI16_RS00260, 947.3, , , , , 
FFI16_RS00270, 373.3, , , , , 
FFI16_RS00275, 1668.3, 700:3:0.153846:0.214286;500:3:0.1875:0.440217, 500:1:0.0379747:0.25;300:3:0.468531:0.5;200:2:0.904459:0.96;500:1:0.0191083:0.12, , , 400:3:0.161765:0.277778;400:1:0.028169:0.166667
FFI16_RS00280, 883.0, 800:3:0.135135:0.135135;800:3:0.171429:0.171429;700:3:0.117647:0.117647;800:3:0.166667:0.166667;800:3:0.138889:0.138889, , , , 500:1:0.0362319:0.135135
FFI16_RS00285, 697.7, , , 500:3:0.285714:0.473684, , 
FFI16_RS00300, 348.7, , , , , 
FFI16_RS00315, 184.7, , 500:1:0.0140845:0.12, , , 
FFI16_RS00320, 1841.3, 800:3:0.125:0.125, 500:1:0.0481928:0.206897;500:1:0.00854701:0.133333, 600:1:0.057971:0.151515;300:1:0.0597015:0.181818, , 500:3:0.392157:0.553191;500:1:0.0522876:0.176471
FFI16_RS00325, 323.3, , , , , 
FFI16_RS00330, 354.3, , , , , 
FFI16_RS00335, 497.7, , , , , 500:1:0.0204082:0.12
FFI16_RS00345, 213.3, , , , , 
FFI16_RS00350, 156.0, , , , , 
FFI16_RS00355, 327.7, , , , , 
FFI16_RS00365, 457.0, , , , , 
FFI16_RS00370, 720.0, 800:3:0.121951:0.121951, , , 300:1:0:0.166667, 
FFI16_RS00375, 842.0, , , , , 
FFI16_RS00380, 563.7, , , , 600:1:0.0280374:0.130435, 
FFI16_RS00385, 197.7, , , , , 
FFI16_RS00390, 641.3, , , , , 
FFI16_RS00395, 142.0, , , , 500:3:0.487179:0.985294, 
FFI16_RS00400, 712.0, , 500:1:0.0608108:0.241379;100:3:0.135802:0.367347, 500:1:0.0357143:0.151515;100:3:0.135593:0.333333;600:1:0.0571429:0.1875;300:1:0.0428571:0.2, 600:3:0.0416667:0.214286;500:1:0.0754717:0.2, 100:3:0.103704:0.333333
FFI16_RS00405, 353.0, , , , , 
FFI16_RS00420, 1007.3, 800:3:0.146341:0.146341, , , , 
FFI16_RS00440, 67.7, , , , , 
FFI16_RS00455, 510.7, , , , , 
FFI16_RS00460, 162.0, , , , , 
FFI16_RS00465, 929.7, , , , , 
FFI16_RS00470, 814.7, 800:3:0.148148:0.148148, , , 600:1:0.0277778:0.130435, 
FFI16_RS00475, 940.0, , 500:1:0.0625:0.142857, , , 
FFI16_RS00480, 71.0, , , , , 
FFI16_RS00485, 355.7, , , , , 
FFI16_RS00490, 817.7, , , , , 
FFI16_RS00495, 1041.7, , , , , 
FFI16_RS00500, 441.0, , , , , 
FFI16_RS00505, 489.3, , , , , 
FFI16_RS00510, 737.3, , , , , 
FFI16_RS00515, 1653.0, , , , , 100:3:0.644172:0.732143
FFI16_RS00520, 1007.0, , , , , 
FFI16_RS00525, 1200.7, , , , , 
FFI16_RS00530, 761.0, , , , , 
FFI16_RS00535, 141.0, , , , , 
FFI16_RS00540, 944.3, , , , 600:1:0.0384615:0.214286;600:1:0.0416667:0.173913, 
FFI16_RS00545, 660.3, , , , , 
FFI16_RS00550, 681.7, , , , , 
FFI16_RS00555, 414.7, , , , , 
FFI16_RS00560, 1282.0, , , 200:3:0.333333:0.5, , 
FFI16_RS00565, 467.3, , , , , 
FFI16_RS00570, 1060.0, , , 100:3:0.408163:0.408163, , 
FFI16_RS00575, 387.3, , , , , 
FFI16_RS00580, 1615.0, , , , , 
FFI16_RS00585, 174.7, , , , , 
FFI16_RS00590, 823.0, , , , , 
FFI16_RS00595, 1052.3, , , , , 
FFI16_RS00600, 3063.7, , 300:3:0.876923:0.97619, , , 
FFI16_RS00605, 1368.7, 800:3:0.173913:0.173913;800:3:0.173913:0.173913;800:3:0.181818:0.181818;800:3:0.12:0.12, , , 300:3:0.418182:0.831169, 700:3:0.307692:0.307692;700:3:0.192308:0.192308;800:3:0.307692:0.307692;700:3:0.230769:0.230769;700:3:0.192308:0.192308;700:3:0.2:0.2
FFI16_RS00610, 1124.7, 800:3:0.142857:0.142857, 300:1:0.0735294:0.142857;100:3:0.130435:0.36;800:3:0.101449:0.153846;300:3:0.123077:0.478261, , 700:3:0.111111:0.142857;700:3:0.142857:0.166667, 300:3:0.118644:0.214286;300:1:0.101695:0.266667;300:1:0.0666667:0.235294;200:3:0.0819672:0.235294;500:1:0.12069:0.222222;500:1:0.0344828:0.166667;600:1:0.0508475:0.130435;300:1:0.101695:0.277778;700:1:0.05:0.142857;200:3:0.1:0.277778;200:3:0.114754:0.444444;200:1:0.0967742:0.45;300:3:0.0806452:0.2
FFI16_RS00615, 444.3, , , , , 500:3:0.42735:0.571429
FFI16_RS00620, 386.3, , , , , 
FFI16_RS00625, 323.3, , , , , 
FFI16_RS00630, 1533.3, 800:3:0.133333:0.133333, 400:1:0.0982143:0.1875;500:1:0.0582524:0.214286, 300:1:0.0754717:0.333333, , 500:1:0.0823529:0.192308;300:3:0.106061:0.333333
FFI16_RS00635, 474.7, , 300:3:0.428571:0.461538, , , 
FFI16_RS00640, 1957.0, , , , , 
FFI16_RS00645, 351.0, , , , , 
FFI16_RS00650, 1506.7, , , 700:3:0.106383:0.2, , 
FFI16_RS00655, 437.3, , , , , 
FFI16_RS00660, 1178.0, , , , , 
FFI16_RS00665, 888.3, , , , , 
FFI16_RS00670, 547.7, , , , , 
FFI16_RS00675, 523.0, , , , , 
FFI16_RS00680, 233.0, , , , , 
FFI16_RS00685, 664.7, , , , , 400:3:0.453333:0.578947
FFI16_RS00690, 1306.0, , , , , 
FFI16_RS00695, 895.3, , , , , 
FFI16_RS00700, 678.0, , , , 600:1:0:0.138889, 300:3:0.198347:0.27381
FFI16_RS00705, 1376.7, 500:3:0.225:0.225, 300:3:0.112:0.25;300:3:0.106557:0.238095;300:3:0.181818:0.285714;500:1:0.0272727:0.130435;100:3:0.154545:0.454545;300:3:0.113043:0.24;100:3:0.0956522:0.289474;300:1:0.0884956:0.324324;600:1:0.026087:0.190476;400:1:0.0526316:0.217391;500:1:0.036036:0.136364, 200:3:0.125:0.222222;100:3:0.189655:0.333333;100:3:0.20339:0.263158;300:1:0.0508475:0.25;500:1:0.0677966:0.25;300:1:0.101695:0.375;300:3:0.192982:0.714286;400:1:0.0338983:0.166667;300:1:0.0634921:0.285714;300:1:0.0483871:0.285714;300:1:0.0545455:0.571429, , 600:3:0.446927:0.534884;300:1:0.0423729:0.166667;300:3:0.1:0.222222;500:1:0.0366972:0.153846;100:3:0.172727:0.5;300:3:0.110092:0.37037;300:1:0.0545455:0.148148;300:1:0.0900901:0.285714;300:1:0.00869565:0.157895
FFI16_RS00710, 848.3, , , , , 
FFI16_RS00715, 885.0, , , , , 
FFI16_RS00720, 1024.3, , 700:3:0.353333:0.353333, , , 200:3:0.273585:0.436364
FFI16_RS00725, 681.7, , , , , 
FFI16_RS00730, 348.0, , , , , 
FFI16_RS00735, 660.7, , , , , 
FFI16_RS00740, 1074.0, , , 500:1:0.0188679:0.146341, , 
FFI16_RS00745, 871.7, , 700:1:0.0588235:0.25;300:1:0.0869565:0.153846, , , 600:3:0.157895:0.210526;700:1:0.0833333:0.222222;400:3:0.727273:0.727273
FFI16_RS00750, 296.0, 500:1:0:0.12, , , , 
FFI16_RS00755, 1344.7, , , , , 
FFI16_RS00760, 831.0, , , , , 
FFI16_RS00765, 317.3, , , , , 
FFI16_RS00775, 296.7, , , , , 
FFI16_RS00780, 498.0, , 400:3:0.0746269:0.228571, , , 
FFI16_RS00785, 315.3, , , 200:3:0.34375:0.515152, , 
FFI16_RS00790, 2209.3, , , 300:1:0.031746:0.285714;300:1:0.0487805:0.166667, 600:1:0.0222222:0.157895, 
FFI16_RS00795, 1351.0, , , , , 
FFI16_RS00800, 682.7, , , , , 
FFI16_RS00805, 474.7, , 400:1:0.0280899:0.166667, 300:1:0.03125:0.15, , 
FFI16_RS00810, 400.7, , , , , 
FFI16_RS00815, 216.3, , , , , 
FFI16_RS00820, 501.7, , , , 300:3:0.402778:0.774194, 
FFI16_RS00825, 314.0, , , , , 
FFI16_RS00830, 1357.7, , 500:1:0.00892857:0.16, , , 
FFI16_RS00835, 537.3, , , , , 
FFI16_RS00840, 1564.3, , 400:3:0.5:0.517241, , , 
FFI16_RS00845, 963.0, , , , , 
FFI16_RS00850, 609.7, , , , , 
FFI16_RS00855, 965.0, , , , , 
FFI16_RS00860, 2557.3, , , , , 
FFI16_RS00865, 361.7, , , , , 
FFI16_RS00870, 329.7, , , , , 
FFI16_RS00875, 339.0, , , , , 
FFI16_RS00880, 507.3, , , , , 
FFI16_RS00885, 1563.3, , , 300:1:0.0128205:0.133333, , 
FFI16_RS00890, 641.3, , , , , 
FFI16_RS00895, 1029.7, , , , , 
FFI16_RS00900, 636.0, , , , , 
FFI16_RS00905, 289.7, , , , , 
FFI16_RS00910, 108.0, , , , , 
FFI16_RS00915, 173.0, , , , , 
FFI16_RS00920, 481.3, , , , , 
FFI16_RS00925, 1171.7, , , , , 
FFI16_RS00930, 1925.3, 800:3:0.135135:0.135135;800:3:0.138889:0.138889, , , , 
FFI16_RS00935, 407.3, , , , , 
FFI16_RS00940, 692.0, , , , , 
FFI16_RS00945, 304.3, , , , 500:1:0.0508475:0.4, 
FFI16_RS00950, 1682.0, , , 200:3:0.404255:0.481481, , 200:3:0.45:0.590909
FFI16_RS00955, 547.3, , , , 600:3:0.047619:0.214286;600:3:0.09375:0.428571, 
FFI16_RS00960, 2318.3, , 500:1:0.0679612:0.137931, 300:1:0.0163934:0.176471, , 
FFI16_RS00965, 828.7, , , , , 
FFI16_RS00970, 679.3, , , , , 
FFI16_RS00975, 1588.7, , 100:3:0.163636:0.367347, 100:3:0.183673:0.407407;200:3:0.113208:0.285714;300:1:0.0612245:0.272727;200:3:0.156863:0.3;400:1:0.0769231:0.285714;300:1:0.0566038:0.2;300:1:0.0175439:0.25, , 100:3:0.0860215:0.274194
FFI16_RS00980, 1372.0, 800:3:0.12:0.12, , , , 
FFI16_RS00985, 643.7, , , , , 
FFI16_RS00990, 703.0, , , , , 
FFI16_RS00995, 362.0, , , , , 
FFI16_RS01000, 1175.7, , , , , 300:3:0.166667:0.369565
FFI16_RS01005, 1105.3, 800:3:0.115385:0.115385, , , , 
FFI16_RS01010, 2210.7, , , 200:3:0.27957:0.363636, , 
FFI16_RS01015, 187.3, , , , , 
FFI16_RS01020, 762.3, , , , , 
FFI16_RS01025, 453.0, , , , , 
FFI16_RS01030, 985.0, , , 300:1:0.0307692:0.230769, , 
FFI16_RS01035, 535.7, , , , , 
FFI16_RS01040, 345.3, , , , , 
FFI16_RS01045, 705.3, , , , , 
FFI16_RS01050, 745.7, , , , , 
FFI16_RS01055, 569.7, 500:3:0.566038:0.670103, , , , 
FFI16_RS01060, 308.0, , , , , 
FFI16_RS01065, 353.7, , , , , 
FFI16_RS01070, 1286.0, , , , , 
FFI16_RS01075, 1775.3, , , , , 
FFI16_RS01080, 558.7, , , , , 
FFI16_RS01085, 255.3, , , , , 
FFI16_RS01090, 1429.0, , 500:1:0.0540541:0.142857;500:1:0.00943396:0.178571;500:1:0.0309278:0.153846, , , 600:1:0.00806452:0.128205;600:1:0.0485437:0.171429
FFI16_RS01095, 369.3, , , , , 
FFI16_RS01100, 825.0, , 200:2:0.890805:0.974684, , , 
FFI16_RS01105, 746.7, , , , , 
FFI16_RS01110, 846.7, , , , , 
FFI16_RS01115, 462.7, , , , , 
FFI16_RS01125, 1639.0, , , , , 
FFI16_RS01130, 178.0, , , , , 
FFI16_RS01135, 86.0, , , , , 
FFI16_RS01140, 3017.0, , , , , 
FFI16_RS01145, 217.0, , , , , 
FFI16_RS01150, 2737.0, , 500:3:0.0852713:0.145833, , , 
FFI16_RS01155, 2785.0, , , , , 
FFI16_RS01160, 1547.3, , , , , 
FFI16_RS01165, 523.7, , , , , 
FFI16_RS01170, 941.7, , , , , 300:3:0.158879:0.377049
FFI16_RS01175, 369.3, , , , , 
FFI16_RS01185, 353.7, , , , , 
FFI16_RS01190, 727.7, , 500:1:0:0.134615, , , 
FFI16_RS01195, 717.0, , , , , 
FFI16_RS01200, 324.7, , , , , 300:3:0.237762:0.391892
FFI16_RS01205, 827.0, 800:3:0.146341:0.146341, , , , 
FFI16_RS01210, 1178.3, 800:3:0.114286:0.114286, , , , 
FFI16_RS01215, 681.7, , , , 600:1:0.0149254:0.125, 
FFI16_RS01220, 373.7, , , , , 
FFI16_RS01225, 591.7, , , , , 
FFI16_RS01230, 656.7, , , , 600:1:0:0.136364, 
FFI16_RS01235, 1137.3, , , , , 
FFI16_RS01240, 790.3, , , , , 
FFI16_RS01245, 382.7, , , , , 
FFI16_RS01250, 1189.0, , , , 600:1:0:0.12, 
FFI16_RS01255, 862.0, , , , , 
FFI16_RS01260, 747.7, , , 500:3:0.344828:0.636364, , 
FFI16_RS01265, 864.7, , , , , 
FFI16_RS01270, 239.3, , , , , 
FFI16_RS01275, 750.3, , , , , 
FFI16_RS01280, 463.3, , , , , 
FFI16_RS01285, 996.7, , , , , 
FFI16_RS01295, 1165.7, , , , , 500:3:0.401961:0.691176
FFI16_RS01300, 724.3, 500:3:0.105263:0.242105;300:1:0.027027:0.136364, 400:1:0.03125:0.192308;100:3:0.173611:0.277778, 300:1:0.0117647:0.1875;300:3:0.152941:0.333333;200:3:0.164706:0.4, , 100:1:0.0661157:0.244444;100:3:0.11811:0.45;100:1:0.0454545:0.204545;300:3:0.0977444:0.217391
FFI16_RS01305, 644.3, , , 300:3:0.170455:0.321429;500:1:0.0813953:0.181818;300:1:0.0470588:0.166667, , 
FFI16_RS01310, 562.0, , , , , 
FFI16_RS01315, 710.0, , , , , 
FFI16_RS01320, 771.7, , , , , 
FFI16_RS01325, 1166.3, , , , , 
FFI16_RS01330, 403.0, , , , , 
FFI16_RS01335, 1126.7, , , , 300:3:0.408163:0.859649, 
FFI16_RS01340, 681.0, , , 500:1:0.0576923:0.15, , 
FFI16_RS01345, 1104.7, , , , , 
FFI16_RS01350, 314.7, , , , , 
FFI16_RS01355, 1562.7, , 500:1:0.00689655:0.16, , 600:1:0.0149254:0.115385, 
FFI16_RS01360, 1426.3, , 200:1:0:0.20362, , , 
FFI16_RS01365, 1156.7, , , , , 
FFI16_RS01370, 771.0, , , , , 
FFI16_RS01375, 1016.3, , 600:3:0.0357143:0.304348, , , 
FFI16_RS01380, 565.3, , , , , 
FFI16_RS01385, 297.7, , , , , 
FFI16_RS01390, 368.3, , , , , 
FFI16_RS01395, 826.0, , , 700:3:0.101449:0.125, , 700:3:0.133333:0.148148
FFI16_RS01400, 341.0, , , , , 
FFI16_RS01405, 232.7, , , , , 
FFI16_RS01410, 1034.3, 500:1:0:0.142857;300:1:0:0.129032, , , 400:3:0.5:0.5, 
FFI16_RS01415, 930.3, 500:3:0.12:0.25;700:3:0.115385:0.156863, 300:3:0.16:0.185185, 700:3:0.153846:0.153846, , 300:1:0.0810811:0.222222
FFI16_RS01420, 366.3, , , , , 
FFI16_RS01425, 471.3, , , , , 
FFI16_RS01430, 939.7, , , , , 600:3:0.0854701:0.254902
FFI16_RS01435, 939.0, 700:3:0.353846:0.353846, , , , 
FFI16_RS01440, 677.7, , , 300:1:0.03125:0.176471, , 
FFI16_RS01450, 827.0, , , , , 500:1:0.0447761:0.122449
FFI16_RS01455, 342.7, , , , , 
FFI16_RS01460, 158.7, , , , , 
FFI16_RS01465, 285.7, , , , , 
FFI16_RS01470, 452.7, , , , , 400:1:0.0131579:0.163636
FFI16_RS01475, 592.0, , , , , 
FFI16_RS01480, 522.0, , , , , 
FFI16_RS01485, 829.7, , , , , 
FFI16_RS01490, 518.7, , , , , 
FFI16_RS01495, 462.7, , , , , 
FFI16_RS01500, 366.3, , , , , 
FFI16_RS01505, 758.3, , , , , 
FFI16_RS01510, 287.0, , , , , 
FFI16_RS01515, 491.0, , , , , 
FFI16_RS01520, 700.0, 700:3:0.108108:0.147541;500:3:0.333333:0.478723, , 300:1:0.0681818:0.538462, , 200:3:0.325301:0.386364
FFI16_RS01525, 693.0, , , , , 
FFI16_RS01530, 794.3, , , , , 
FFI16_RS01535, 1467.7, , , , , 
FFI16_RS01540, 1066.7, 500:3:0.555556:0.722222, 500:1:0.00763359:0.142857, , , 
FFI16_RS01545, 1979.3, , , , , 
FFI16_RS01550, 766.0, , , , , 
FFI16_RS01555, 712.3, , , , , 
FFI16_RS01560, 1256.0, , , , 300:3:0.476923:0.873418, 
FFI16_RS01565, 940.3, , , , , 
FFI16_RS01570, 476.3, , 500:1:0:0.119048, , , 
FFI16_RS01580, 824.3, , , , , 
FFI16_RS01585, 1546.3, , , , , 
FFI16_RS01590, 483.7, , , , , 
FFI16_RS01595, 259.7, , , , , 
FFI16_RS01600, 679.7, , , , , 
FFI16_RS01605, 641.7, , , , , 
FFI16_RS01610, 682.0, , , , , 
FFI16_RS01615, 554.0, , , , , 
FFI16_RS01620, 1117.3, , , 500:3:0.2375:0.315789, 600:1:0.0273973:0.166667, 
FFI16_RS01625, 911.0, , , , , 
FFI16_RS01630, 632.3, , , , , 
FFI16_RS01635, 440.7, , , , , 
FFI16_RS01640, 204.3, , , , , 
FFI16_RS01645, 290.3, , , , , 
FFI16_RS01650, 1636.7, , , 300:1:0.025641:0.181818, , 
FFI16_RS01655, 1035.3, , , , , 
FFI16_RS01660, 879.3, , , , , 200:3:0.258993:0.461538
FFI16_RS01665, 883.3, , , , , 
FFI16_RS01670, 247.0, , , , , 
FFI16_RS01675, 305.7, , , , , 
FFI16_RS01680, 1541.7, , , , , 300:3:0.481752:0.616279
FFI16_RS01685, 240.7, , , , , 
FFI16_RS01690, 1700.3, , , , , 
FFI16_RS01695, 557.7, , , , , 
FFI16_RS01700, 391.3, , , , , 
FFI16_RS01705, 366.3, , , , , 
FFI16_RS01710, 1592.7, , , , , 
FFI16_RS01715, 459.0, , , , , 
FFI16_RS01720, 1063.3, 500:3:0.673913:0.728395;500:3:0.564516:0.765152, , , , 
FFI16_RS01725, 594.7, , , 600:1:0.0113636:0.15, , 
FFI16_RS01730, 1032.7, , , , , 
FFI16_RS01735, 387.0, , , , , 
FFI16_RS01740, 175.7, 700:3:0.153846:0.153846, , , , 
FFI16_RS01745, 956.7, , , , , 
FFI16_RS01750, 447.0, , , , , 
FFI16_RS01760, 339.7, , , , , 
FFI16_RS01765, 578.7, , , , , 
FFI16_RS01770, 619.0, , , , , 
FFI16_RS01775, 519.0, , , , , 
FFI16_RS01780, 310.7, , , , 600:1:0.0714286:0.238095, 
FFI16_RS01790, 1639.0, , , , , 
FFI16_RS01795, 3017.0, , , , , 
FFI16_RS01800, 217.0, , , , , 
FFI16_RS01805, 307.0, , , , 400:3:0.390625:0.826087, 
FFI16_RS01810, 481.0, , , , 600:1:0.0375:0.2, 
FFI16_RS01815, 274.0, , , , , 
FFI16_RS01820, 854.0, , , , , 
FFI16_RS01825, 993.7, , , , , 
FFI16_RS01830, 683.3, , , 300:1:0.046875:0.428571, 700:3:0.152542:0.152542;700:3:0.150943:0.150943, 
FFI16_RS01835, 811.3, , , , , 
FFI16_RS01840, 849.0, , 400:1:0.0267857:0.151515, 700:3:0.0980392:0.133333;500:1:0.0204082:0.133333;400:3:0.176471:0.258065, 300:1:0.0377358:0.130435, 300:3:0.129032:0.2
FFI16_RS01845, 807.0, , , , , 
FFI16_RS01850, 233.3, , , , 300:1:0.056338:0.157895, 
FFI16_RS01855, 751.7, , , , , 
FFI16_RS01865, 337.7, , , , , 
FFI16_RS01870, 186.0, , , , , 
FFI16_RS01875, 809.7, , , , , 
FFI16_RS01880, 860.7, , , , , 
FFI16_RS01885, 300.7, , , , , 
FFI16_RS01890, 1462.7, , 200:2:0.899329:0.988636, , , 
FFI16_RS01895, 693.3, , , 300:1:0.047619:0.25, , 
FFI16_RS01900, 508.0, , , , , 
FFI16_RS01905, 717.0, , 600:3:0.0533333:0.347368, , , 
FFI16_RS01910, 627.3, , , , , 
FFI16_RS01915, 600.7, , , 600:1:0.0298507:0.190476, , 
FFI16_RS01920, 478.0, , , , , 
FFI16_RS01925, 973.0, , , , , 
FFI16_RS01930, 399.7, , , , , 
FFI16_RS01935, 280.3, , , , , 
FFI16_RS01940, 411.7, , , , , 
FFI16_RS01945, 1438.7, , , , , 
FFI16_RS01950, 271.3, , , , , 
FFI16_RS01955, 173.0, , , , , 
FFI16_RS01960, 412.3, , , , , 
FFI16_RS01965, 916.7, , , , , 
FFI16_RS01970, 587.3, , , , , 
FFI16_RS01975, 743.0, , , , , 
FFI16_RS01980, 830.7, , , , , 
FFI16_RS01985, 1003.7, , , , , 
FFI16_RS01990, 528.3, , , , , 
FFI16_RS01995, 853.0, , , , , 
FFI16_RS02000, 1226.0, , , 500:1:0.0333333:0.166667, 300:1:0.0344828:0.2;600:1:0.0714286:0.166667, 
FFI16_RS02005, 1165.3, , 600:3:0.387387:0.44898, , , 200:3:0.12766:0.209302
FFI16_RS02010, 876.7, , , , , 
FFI16_RS02015, 598.0, , , , , 
