Identifier, Size, 1D1, 1D2, 1D3, 1D4, 1D5
DR_0001, 882.3, 400:3:0.5:0.5;400:3:0.333333:0.333333;400:1:0:0.142857;800:3:0.333333:0.333333;500:3:0.333333:0.333333;400:3:0.333333:0.333333;800:3:0.333333:0.333333;600:1:0.166667:0.1875;400:3:0.5:0.5;400:1:0.142857:0.409091;300:3:0.714286:0.714286;400:3:0.142857:0.217391;400:1:0.2:0.2;400:3:0.2:0.333333;400:1:0.0666667:0.25;500:1:0.111111:0.138889;400:1:0.157895:0.157895;400:3:0.16129:0.16129;400:3:0.0967742:0.16;500:1:0.102564:0.125;800:3:0.142857:0.142857;400:1:0.130435:0.192308;400:1:0.0434783:0.28125;400:1:0.0833333:0.272727;500:1:0.12:0.225806;800:3:0.2:0.2;400:3:0.346154:0.346154;300:3:0.206897:0.341463;400:3:0.172414:0.219512;400:3:0.205882:0.205882;400:3:0.189655:0.189655;400:1:0.0517241:0.176471;400:3:0.119403:0.184783, 600:3:0.2:0.2;600:3:0.235294:0.235294;300:1:0:0.2;600:1:0.0909091:0.178571;400:3:0.235294:0.235294;400:3:0.192308:0.192308;600:3:0.137931:0.137931;400:1:0:0.176471;400:3:0.0638298:0.170732;400:1:0.0285714:0.129032;400:3:0.0677966:0.12766;400:1:0.0285714:0.137931;400:1:0.0285714:0.137931;300:3:0.142857:0.241379;400:3:0.228571:0.228571;400:1:0:0.2;300:3:0.272727:0.272727;300:1:0.0909091:0.212963;400:1:0.0833333:0.217391;400:1:0:0.16;400:3:0.0714286:0.129032;400:3:0.138889:0.151515;400:1:0.0285714:0.117647;400:1:0.0681818:0.142857, 800:3:0.8:0.8;400:1:0:0.307692;800:3:0.2:0.2;400:3:0.333333:0.333333;400:3:0.333333:0.333333;800:3:0.2:0.2;800:3:0.1875:0.1875;800:3:0.1875:0.1875;400:3:0.133333:0.258065;500:3:0.133333:0.21875;500:3:0.181818:0.181818;400:3:0.115385:0.175;300:3:0.0740741:0.155172;400:3:0.142857:0.142857;500:1:0.0625:0.133333;500:3:0.142857:0.142857;500:3:0.148148:0.148148;400:3:0.111111:0.111111;400:3:0.0909091:0.204082;500:1:0.0434783:0.131579;400:3:0.147059:0.147059;500:3:0.117647:0.155844;800:3:0.173913:0.173913;800:3:0.2:0.2;500:3:0.2:0.2;500:1:0:0.210526;400:3:0.2:0.26087;400:1:0:0.142857;800:3:0.3:0.3;400:1:0:0.137931;800:3:0.25:0.25;400:1:0:0.166667;400:3:0.142857:0.172414;800:3:0.214286:0.214286;400:3:0.333333:0.333333;800:3:0.166667:0.166667;400:3:0.166667:0.424242;400:3:0.277778:0.277778;500:1:0.05:0.137931;800:3:0.136364:0.136364;800:3:0.181818:0.181818;800:3:0.210526:0.210526;500:3:0.111111:0.133333;400:3:0.235294:0.235294;400:1:0.0625:0.169014, 500:3:0.25:0.333333;400:1:0.0769231:0.333333;400:3:0.357143:0.444444;500:3:0.214286:0.222222;400:1:0.047619:0.384615;500:1:0.0294118:0.15;500:1:0.0222222:0.136364;400:1:0:0.130435;400:3:0.134615:0.179487;400:3:0.132075:0.164384;400:3:0.171053:0.171053;600:3:0.153846:0.153846;400:3:0.164557:0.164557;400:3:0.0652174:0.159091;400:3:0.0618557:0.173077;500:1:0:0.2;600:3:0.227273:0.227273;400:3:0.217391:0.217391;400:1:0.0740741:0.272727;600:1:0.0689655:0.212121;500:1:0.103448:0.15625;600:1:0.0689655:0.228571;700:1:0:0.142857;400:1:0.0980392:0.15493, 500:3:0.375:0.375;500:3:0.222222:0.235294;400:3:0.333333:0.4;400:3:0.333333:0.384615;400:3:0.444444:0.444444;500:3:0.3125:0.3125;400:3:0.111111:0.25;500:1:0.0689655:0.166667;500:1:0.0285714:0.185185;400:1:0:0.133333;500:3:0.0952381:0.181818;400:3:0.155556:0.193548;500:1:0.0212766:0.125;500:1:0.0212766:0.125;400:3:0.0909091:0.173913;300:3:0.0777778:0.160714;400:3:0.106195:0.151515;400:3:0.188034:0.188034;400:3:0.0598291:0.138462;300:3:0.0677966:0.138889;300:3:0.0909091:0.2;300:1:0.0679612:0.166667;400:3:0.14433:0.177778;400:1:0.0384615:0.12;400:1:0.08:0.217391;800:3:0.1:0.117647;600:1:0.0714286:0.2;500:1:0:0.157895;800:3:0.136364:0.142857;600:3:0.162791:0.162791;500:3:0.244444:0.244444;300:3:0.269231:0.269231;800:3:0.131148:0.131148;400:1:0.0597015:0.125;400:3:0.149425:0.205128;300:3:0.091954:0.181818;400:1:0.0340909:0.139535;500:1:0.0212766:0.122449
DR_0002, 722.3, 300:3:0.0967742:0.3, 300:1:0.0333333:0.380952;100:3:0.153846:0.285714;100:3:0.344828:0.344828, 400:3:0.24:0.24;400:3:0.16:0.16;500:3:0.107143:0.191489;400:1:0.0857143:0.137931;500:3:0.294118:0.294118;400:3:0.205882:0.205882;200:3:0.228571:0.265306;200:3:0.315789:0.315789;300:3:0.205128:0.205128, 100:3:0.174757:0.25, 300:1:0.0569106:0.230769;300:3:0.166667:0.25;300:3:0.155738:0.272727;300:3:0.147541:0.181818;300:3:0.209302:0.25
DR_0004, 558.0, , 400:1:0.025641:0.130435, , , 
DR_0006, 184.0, , , , , 
DR_0007, 56.3, , , , , 
DR_0008, 579.7, 600:2:0.982301:0.982301, , , , 
DR_0009, 49.3, , , , , 
DR_0010, 550.0, 200:1:0.045045:0.151899, , , , 
DR_0016, 146.3, , , , , 
DR_0020, 392.0, , , , , 
