Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
CCNA_01156, YP_002516529.1, , 669.7, 59, 1.30, 64.52, 170.44
CCNA_03938, YP_009020510.1, , 338.7, 59, 0.66, 127.58, 210.031
CCNA_00262, YP_002515637.1, , 738.7, 54, 1.43, 53.54, 146.363
CCNA_R0193, , , 197.0, 53, 0.38, 197.03, 211.751
CCNA_01793, YP_002517166.1, , 820.0, 52, 1.59, 46.44, 133.845
CCNA_02336, YP_002517709.1, , 713.7, 44, 1.38, 45.15, 112.407
CCNA_02869, YP_002518242.1, , 298.0, 44, 0.58, 108.14, 150.048
CCNA_00364, YP_002515739.1, , 951.0, 41, 1.84, 31.57, 90.7734
CCNA_03632, YP_002519005.1, , 325.7, 41, 0.63, 92.19, 133.525
CCNA_03167, YP_002518540.1, , 745.0, 39, 1.44, 38.34, 93.7234
CCNA_R0002, , , 172.0, 35, 0.33, 149.03, 130.919
CCNA_03336, YP_002518708.1, ybgF, 701.0, 34, 1.36, 35.52, 79.4895
CCNA_00028, YP_002515403.2, , 1821.3, 33, 3.53, 13.27, 46.8619
CCNA_02879, YP_002518252.1, , 171.7, 33, 0.33, 140.76, 121.696
CCNA_R0171, , , 243.0, 33, 0.47, 99.46, 110.369
CCNA_00799, YP_002516172.1, cydD, 1267.3, 31, 2.46, 17.91, 52.6203
CCNA_02245, YP_002517618.1, , 397.0, 31, 0.77, 57.19, 86.9713
CCNA_R0107, , , 108.0, 31, 0.21, 210.22, 126.785
CCNA_00826, YP_002516199.1, , 767.0, 28, 1.49, 26.74, 58.2309
CCNA_03700, YP_002519073.1, , 393.3, 28, 0.76, 52.14, 76.2344
CCNA_02333, YP_002517706.1, , 813.3, 27, 1.58, 24.31, 53.7967
CCNA_03729, YP_002519102.1, , 563.7, 27, 1.09, 35.08, 63.2288
CCNA_00694, YP_002516067.1, , 1976.3, 26, 3.83, 9.64, 30.0299
CCNA_01190, YP_002516563.1, , 1237.3, 26, 2.40, 15.39, 40.8331
CCNA_02865, YP_002518238.1, , 561.7, 26, 1.09, 33.90, 60.1083
CCNA_R0011, , , 157.0, 26, 0.30, 121.28, 92.4968
CCNA_02291, YP_002517664.1, , 1006.7, 25, 1.95, 18.19, 43.1738
CCNA_02896, YP_002518269.1, , 1235.3, 25, 2.39, 14.82, 38.4824
CCNA_03338, YP_002518710.1, tolB, 994.3, 25, 1.93, 18.41, 43.4606
CCNA_00230, YP_002515605.2, , 958.7, 24, 1.86, 18.33, 41.7033
CCNA_00515, YP_002515888.1, , 1819.0, 24, 3.52, 9.66, 27.9251
CCNA_03335, YP_002518707.1, , 873.0, 24, 1.69, 20.13, 43.7918
CCNA_03611, YP_002518984.1, , 1310.3, 24, 2.54, 13.41, 34.8565
CCNA_R0170, , , 186.0, 24, 0.36, 94.50, 79.6246
CCNA_00798, YP_002516171.1, cydC, 1229.0, 23, 2.38, 13.71, 33.9285
CCNA_00810, YP_002516183.1, , 879.3, 23, 1.70, 19.16, 40.9826
CCNA_00882, YP_002516255.1, , 852.0, 23, 1.65, 19.77, 41.6575
CCNA_01589, YP_002516962.1, , 930.3, 23, 1.80, 18.11, 39.7803
CCNA_02930, YP_002518303.1, , 464.0, 23, 0.90, 36.30, 54.9158
CCNA_02999, YP_002518372.1, , 584.3, 23, 1.13, 28.83, 49.8366
CCNA_03118, YP_002518491.1, , 279.7, 23, 0.54, 60.22, 66.2159
CCNA_03158, YP_002518531.2, , 797.0, 23, 1.54, 21.13, 43.0905
CCNA_03207, YP_002518580.1, , 741.0, 23, 1.44, 22.73, 44.6624
CCNA_03592, YP_002518965.2, , 508.7, 23, 0.99, 33.11, 52.8833
CCNA_00674, YP_002516047.1, , 906.0, 22, 1.76, 17.78, 37.7679
CCNA_00683, YP_002516056.1, , 1180.7, 22, 2.29, 13.65, 32.4489
CCNA_03150, YP_002518523.1, , 126.3, 22, 0.24, 127.57, 79.6739
CCNA_03634, YP_002519007.1, , 481.3, 22, 0.93, 33.48, 50.8989
CCNA_00809, YP_002516182.1, , 826.7, 21, 1.60, 18.60, 37.0132
CCNA_02066, YP_002517439.1, , 592.0, 21, 1.15, 25.98, 43.593
CCNA_R0103, , , 145.0, 21, 0.28, 106.07, 72.3098
CCNA_00766, YP_002516139.1, , 463.7, 20, 0.90, 31.59, 45.3323
CCNA_00767, YP_002516140.2, , 249.3, 20, 0.48, 58.75, 57.3489
CCNA_02532, YP_002517905.1, , 163.0, 20, 0.32, 89.86, 65.6879
CCNA_02633, YP_002518006.1, , 1823.7, 20, 3.53, 8.03, 20.4408
CCNA_03048, YP_002518421.1, , 1192.3, 20, 2.31, 12.29, 27.7837
CCNA_03119, YP_002518492.2, , 399.7, 20, 0.77, 36.65, 48.1849
CCNA_03248, YP_002518621.1, , 1987.3, 20, 3.85, 7.37, 19.0217
CCNA_00627, YP_002516000.1, , 346.7, 19, 0.67, 40.14, 47.5371
CCNA_03577, YP_002518950.2, , 2268.0, 19, 4.39, 6.14, 15.3636
CCNA_03631, YP_002519004.1, , 49.7, 19, 0.10, 279.98, 83.8975
CCNA_R0012, , , 245.0, 19, 0.47, 56.80, 53.9469
CCNA_00340, YP_002515715.1, , 1004.0, 18, 1.95, 13.13, 26.2559
CCNA_00785, YP_002516158.2, , 1372.0, 18, 2.66, 9.61, 21.3058
CCNA_02022, YP_002517395.1, nuoH, 806.3, 18, 1.56, 16.35, 29.842
CCNA_03162, YP_002518535.3, argJ, 1088.7, 18, 2.11, 12.11, 24.9526
CCNA_03165, YP_002518538.1, , 1074.0, 18, 2.08, 12.27, 25.1704
CCNA_03183, YP_002518556.2, , 1301.0, 18, 2.52, 10.13, 22.1329
CCNA_00347, YP_002515722.1, , 225.3, 17, 0.44, 55.26, 48.0083
CCNA_00937, YP_002516310.1, , 301.0, 17, 0.58, 41.36, 43.2221
