Locus tag, RefSeq protein ID, Gene, Length, Observed, Expected, Multiplicity, -log10(P)
FFI16_RS09995, WP_138815400.1, , 7911.0, 13, 1.04, 1.33, 23.0584
FFI16_RS24025, WP_138817105.1, , 2106.0, 11, 0.28, 4.24, 31.9297
FFI16_RS12400, WP_138817592.1, , 4879.7, 10, 0.64, 1.66, 20.167
FFI16_RS14545, WP_138815710.1, , 526.0, 8, 0.07, 12.33, 32.0728
FFI16_RS11770, WP_138817700.1, , 773.7, 7, 0.10, 7.34, 24.6437
FFI16_RS25275, WP_138817287.1, , 269.0, 6, 0.04, 18.09, 26.6882
FFI16_RS27220, WP_053258703.1, phoU, 654.0, 6, 0.09, 7.44, 21.401
FFI16_RS27245, WP_003195617.1, phoB, 624.7, 6, 0.08, 7.79, 21.6727
FFI16_RS24785, WP_065930773.1, tatC, 596.3, 5, 0.08, 6.80, 17.6047
FFI16_RS27875, WP_138813356.1, , 1512.3, 5, 0.20, 2.68, 13.051
FFI16_RS27910, WP_138813363.1, ppx, 1300.3, 5, 0.17, 3.12, 13.7832
FFI16_RS00705, WP_138813783.1, , 1376.7, 4, 0.18, 2.36, 10.1767
FFI16_RS09025, WP_138814974.1, , 2175.3, 4, 0.28, 1.49, 8.42976
FFI16_RS16675, WP_138815984.1, , 814.7, 4, 0.11, 3.98, 12.2166
FFI16_RS02630, WP_138814037.1, , 115.3, 3, 0.02, 21.10, 14.384
FFI16_RS04595, WP_056861597.1, , 358.7, 3, 0.05, 6.78, 11.003
FFI16_RS05280, WP_138814422.1, , 1121.7, 3, 0.15, 2.17, 7.6572
FFI16_RS09830, WP_138815113.1, , 851.0, 3, 0.11, 2.86, 8.45937
FFI16_RS09930, WP_138815132.1, urtE, 536.7, 3, 0.07, 4.53, 9.81157
FFI16_RS15290, WP_138815597.1, , 144.3, 3, 0.02, 16.86, 13.7138
FFI16_RS24090, WP_056860528.1, mutL, 1441.3, 3, 0.19, 1.69, 6.93621
