Identifier, Size, 0C1, 0C2, 0C3, 0C4, 0C5
CCNA_00001, 673.0, , , , , 
CCNA_00002, 438.3, , , , , 
CCNA_00003, 617.7, , , , , 
CCNA_00004, 444.3, , , , , 
CCNA_00005, 578.0, , , , , 
CCNA_00006, 691.3, , , , , 
CCNA_00007, 205.7, , , , , 
CCNA_00008, 1198.0, , , , , 
CCNA_00009, 554.7, , , , , 
CCNA_00010, 1541.7, , , , , 
CCNA_00011, 974.3, , , , 300:3:0.5:0.803922, 
CCNA_00012, 2070.7, , , , , 
CCNA_00013, 2118.3, 100:3:0.177632:0.25, 100:3:0.189815:0.267857, , 300:3:0.152893:0.222222;300:3:0.123967:0.226415, 
CCNA_00014, 351.7, , 600:3:0.180556:0.180556, 100:3:0.145038:0.177215;100:3:0.152:0.220779;100:3:0.122807:0.197368, , 
CCNA_00015, 410.3, , , , , 
CCNA_00016, 342.3, , , , , 
CCNA_00017, 174.3, , , , , 
CCNA_00018, 802.7, , , , , 
CCNA_00019, 452.3, , , , , 
CCNA_00020, 165.7, , , , , 
CCNA_00021, 1647.7, , , , , 
CCNA_00022, 503.0, , , , , 
CCNA_00023, 328.0, , , , , 
CCNA_00024, 662.7, , , , , 
CCNA_00025, 1290.3, , , , , 
CCNA_00026, 2104.3, , , 600:3:0.351648:0.712042, , 
CCNA_00027, 597.0, , , , , 
CCNA_00028, 1821.3, 300:3:0.0193089:0.460076;600:3:0.0201816:0.45;300:1:0.0173244:0.44697;600:3:0.0219675:0.40411;400:3:0.0769231:0.545455;400:1:0.0196078:0.641026;300:3:0.0432099:0.8, , 700:3:0.108844:0.11875;600:1:0:0.107914;300:2:0.98:0.982759;600:1:0.00609756:0.108247;300:3:0.105556:0.17551;500:1:0.0847458:0.155556;300:2:1:1, 400:3:0.0977621:0.162162;500:3:0.0297357:0.198083;400:3:0.128962:0.397101;500:1:0.025:0.164062;300:3:0.140197:0.381868;500:1:0.0238971:0.204819;400:3:0.114613:0.472222;400:3:0.0930931:0.151163;500:3:0.113456:0.184211, 600:3:0.0890208:0.756345;300:3:0.83045:1;400:3:0.17284:0.61991;400:3:0.0630915:0.300493;400:3:0.0662252:0.962025;300:1:0:0.194444;300:1:0:0.205882;300:1:0:0.151515;300:2:0.886598:1;300:2:0.886598:1
CCNA_00029, 565.0, , , , , 
CCNA_00030, 601.7, , , , , 
CCNA_00031, 272.3, , , , , 
CCNA_00032, 278.7, , , , , 
CCNA_00033, 1722.0, , , , , 
CCNA_00034, 216.0, , , , , 
CCNA_00035, 691.3, , , , , 
CCNA_00036, 442.0, , , , , 
CCNA_00037, 653.0, , , , , 
CCNA_00038, 424.0, , , , , 
CCNA_00039, 416.0, , , , , 
CCNA_00040, 489.0, , , , 500:3:0.076087:0.153846, 
CCNA_00041, 2342.0, , , , 800:3:0.0774194:0.102564, 
CCNA_00042, 468.7, , , , , 
CCNA_00043, 1260.0, 300:3:0.0747664:0.169231;300:3:0.161905:0.212121;300:3:0.13:0.2;300:1:0.0833333:0.196721, 300:3:0.144:0.192;300:3:0.137097:0.2, , 500:3:0.0925926:0.164384, 300:3:0.121951:0.183673;300:3:0.155:0.188889
CCNA_00044, 539.7, , , , , 
CCNA_00045, 512.7, , , , , 
CCNA_00046, 383.7, , , , , 
CCNA_00047, 603.0, , , , , 
CCNA_00048, 1023.0, , , , , 
CCNA_00049, 353.3, , , , , 
CCNA_00050, 1159.3, , 300:3:0.0967742:0.271845, , , 
CCNA_00051, 688.7, , 500:1:0.0892857:0.179487, , 700:1:0.0625:0.333333;700:1:0.0507614:0.15, 
CCNA_00052, 384.7, , , , 700:3:0.0748899:0.225, 
CCNA_00053, 700.7, , , , , 
CCNA_00054, 1121.3, , , , , 
CCNA_00055, 361.7, , , , , 
CCNA_00056, 343.3, , , , , 
CCNA_00057, 456.3, 500:1:0:0.125, , , 100:3:0.13986:0.175439;500:1:0.00727273:0.166667, 
CCNA_00058, 572.3, 100:3:0.159292:0.25641;600:1:0.0438596:0.235294, 300:3:0.19403:0.236364, , , 
CCNA_00059, 517.3, , , , , 
CCNA_00060, 533.3, , , , , 
CCNA_00061, 991.7, , , , , 
CCNA_00062, 853.3, , , , , 
CCNA_00063, 1224.3, , , , , 
CCNA_00064, 1416.0, 300:1:0.0887097:0.178571;500:3:0.160494:0.2;300:1:0.0720721:0.222222, , 700:1:0.025974:0.21875, , 
CCNA_00065, 649.0, , , , , 
CCNA_00066, 278.7, , , , , 
CCNA_00067, 227.3, 300:3:0.0915033:0.197183;300:3:0.125:0.2;500:3:0.116279:0.166667;100:3:0.294737:0.4, , , , 100:3:0.290598:0.290598
CCNA_00068, 728.3, , , , , 
CCNA_00069, 870.7, , , , , 700:3:0.142857:0.142857;100:3:0.125:0.209302;100:3:0.111111:0.211009
CCNA_00070, 707.0, , , , , 
CCNA_00071, 496.7, , , , , 
CCNA_00072, 687.0, , , , 400:3:0.0752688:0.172414;400:3:0.104167:0.173913, 
CCNA_00073, 1119.0, 400:3:0.166667:0.166667;300:1:0.125:0.176471;500:1:0:0.129032, 100:3:0.12:0.391304, 600:3:0.0961538:0.230769, 400:1:0.0573248:0.153846, 600:1:0.0606061:0.192308;700:3:0.130435:0.130435
CCNA_00074, 1687.3, , , , , 
CCNA_00075, 966.7, , , , , 
CCNA_00076, 283.0, , , , , 
CCNA_00077, 907.0, , , , , 
CCNA_00078, 1453.7, 400:1:0.107143:0.14, , , , 
CCNA_00079, 459.7, , , , , 
CCNA_00080, 563.0, , , , , 
CCNA_00081, 260.7, , , , , 
CCNA_00082, 1359.3, , , , , 
CCNA_00083, 1311.3, 300:3:0.1:0.2;300:3:0.0756303:0.159091;300:3:0.119266:0.238095;300:3:0.145455:0.238095, , , 400:3:0.0783133:0.142857;500:3:0.114458:0.2;700:3:0.101266:0.166667, 
CCNA_00084, 1285.3, 400:1:0.0851064:0.163636;500:1:0.0444444:0.185714;500:1:0.0508475:0.16, 600:1:0.0754717:0.181818, , , 400:1:0.0357143:0.196721;300:3:0.0980392:0.186441;300:1:0.0392157:0.186441;300:3:0.117647:0.233333;400:1:0.0181818:0.212121;300:3:0.142857:0.21519;400:1:0.0481928:0.148649
CCNA_00085, 577.3, , , , , 
CCNA_00086, 3703.0, , , , , 
