Pop	Day	Time_hours	Rep	All	Spores	Vegetative	Vegetative_percent
0B1	100	0	A	6.90E+08	0.00E+00	6.90E+08	1.000
0B1	100	12	A	1.60E+07	0.00E+00	1.60E+07	1.000
0B1	100	24	A	7.00E+06	0.00E+00	7.00E+06	1.000
0B1	100	36	A	1.44E+07	0.00E+00	1.44E+07	1.000
0B1	100	48	A	1.65E+07	0.00E+00	1.65E+07	1.000
0B1	100	60	A	1.80E+07	0.00E+00	1.80E+07	1.000
0B1	100	72	A	2.46E+07	0.00E+00	2.46E+07	1.000
0B1	100	96	A	2.78E+07	1.05E+05	2.77E+07	0.996
0B1	100	120	A	3.52E+07	4.50E+05	3.48E+07	0.987
0B1	100	144	A	2.57E+07	4.30E+05	2.53E+07	0.983
0B1	100	168	A	2.95E+07	4.90E+05	2.90E+07	0.983
0B1	100	192	A	2.45E+07	3.20E+05	2.42E+07	0.987
0B1	100	0	B	7.00E+08	0.00E+00	7.00E+08	1.000
0B1	100	12	B	2.80E+07	0.00E+00	2.80E+07	1.000
0B1	100	24	B	6.50E+06	0.00E+00	6.50E+06	1.000
0B1	100	36	B	1.36E+07	0.00E+00	1.36E+07	1.000
0B1	100	48	B	1.59E+07	0.00E+00	1.59E+07	1.000
0B1	100	60	B	1.80E+07	0.00E+00	1.80E+07	1.000
0B1	100	72	B	2.20E+07	0.00E+00	2.20E+07	1.000
0B1	100	96	B	2.59E+07	3.40E+04	2.59E+07	0.999
0B1	100	120	B	3.38E+07	3.30E+05	3.35E+07	0.990
0B1	100	144	B	3.14E+07	3.00E+05	3.11E+07	0.990
0B1	100	168	B	2.95E+07	3.80E+05	2.91E+07	0.987
0B1	100	192	B	2.39E+07	3.40E+05	2.36E+07	0.986
0B1	100	0	C	5.40E+08	0.00E+00	5.40E+08	1.000
0B1	100	12	C	1.00E+07	0.00E+00	1.00E+07	1.000
0B1	100	24	C	8.70E+06	0.00E+00	8.70E+06	1.000
0B1	100	36	C	1.59E+07	0.00E+00	1.59E+07	1.000
0B1	100	48	C	1.70E+07	0.00E+00	1.70E+07	1.000
0B1	100	60	C	1.99E+07	0.00E+00	1.99E+07	1.000
0B1	100	72	C	2.33E+07	0.00E+00	2.33E+07	1.000
0B1	100	96	C	3.03E+07	7.50E+04	3.02E+07	0.998
0B1	100	120	C	3.40E+07	3.70E+05	3.36E+07	0.989
0B1	100	144	C	3.08E+07	4.20E+05	3.04E+07	0.986
0B1	100	168	C	2.72E+07	3.00E+05	2.69E+07	0.989
0B1	100	192	C	2.32E+07	3.10E+05	2.29E+07	0.987
0B1	100	0	D	5.70E+08	0.00E+00	5.70E+08	1.000
0B1	100	12	D	1.30E+07	0.00E+00	1.30E+07	1.000
0B1	100	24	D	8.60E+06	0.00E+00	8.60E+06	1.000
0B1	100	36	D	1.21E+07	0.00E+00	1.21E+07	1.000
0B1	100	48	D	2.00E+06	0.00E+00	2.00E+06	1.000
0B1	100	60	D	2.07E+07	0.00E+00	2.07E+07	1.000
0B1	100	72	D	2.78E+07	0.00E+00	2.78E+07	1.000
0B1	100	96	D	2.16E+07	2.01E+05	2.14E+07	0.991
0B1	100	120	D	3.21E+07	5.00E+05	3.16E+07	0.984
0B1	100	144	D	2.44E+07	3.50E+05	2.41E+07	0.986
0B1	100	168	D	2.70E+07	3.30E+05	2.67E+07	0.988
0B1	100	192	D	2.51E+07	3.70E+05	2.47E+07	0.985
2B1	100	0	A	3.60E+07	0.00E+00	3.60E+07	1.000
2B1	100	12	A	1.20E+07	0.00E+00	1.20E+07	1.000
2B1	100	24	A	9.20E+06	0.00E+00	9.20E+06	1.000
2B1	100	36	A	1.17E+07	5.80E+04	1.16E+07	0.995
2B1	100	48	A	1.65E+07	4.20E+05	1.61E+07	0.975
2B1	100	60	A	1.48E+07	7.00E+05	1.41E+07	0.953
2B1	100	72	A	1.29E+07	9.10E+05	1.20E+07	0.929
2B1	100	96	A	1.00E+07	8.40E+05	9.16E+06	0.916
2B1	100	120	A	4.10E+06	8.90E+05	3.21E+06	0.783
2B1	100	144	A	3.18E+06	1.13E+06	2.05E+06	0.645
2B1	100	168	A	2.10E+06	9.30E+05	1.17E+06	0.557
2B1	100	192	A	2.54E+06	1.15E+06	1.39E+06	0.547
2B1	100	0	B	1.94E+08	0.00E+00	1.94E+08	1.000
2B1	100	12	B	1.50E+07	0.00E+00	1.50E+07	1.000
2B1	100	24	B	1.31E+08	0.00E+00	1.31E+07	1.000
2B1	100	36	B	1.25E+07	8.00E+04	1.24E+07	0.994
2B1	100	48	B	1.39E+07	4.85E+05	1.34E+07	0.965
2B1	100	60	B	1.20E+07	7.00E+05	1.13E+07	0.942
2B1	100	72	B	9.60E+06	9.10E+05	8.69E+06	0.905
2B1	100	96	B	5.70E+06	7.80E+05	4.92E+06	0.863
2B1	100	120	B	4.50E+06	1.11E+06	3.39E+06	0.753
2B1	100	144	B	3.03E+06	1.08E+06	1.95E+06	0.644
2B1	100	168	B	2.20E+06	7.00E+05	1.50E+06	0.682
2B1	100	192	B	2.40E+06	1.03E+06	1.37E+06	0.571
2B1	100	0	C	1.16E+08	0.00E+00	1.16E+08	1.000
2B1	100	12	C	1.20E+07	0.00E+00	1.20E+07	1.000
2B1	100	24	C	9.40E+06	0.00E+00	9.40E+06	1.000
2B1	100	36	C	1.16E+07	5.90E+04	1.15E+07	0.995
2B1	100	48	C	1.32E+07	5.50E+05	1.27E+07	0.958
2B1	100	60	C	1.21E+07	1.00E+06	1.11E+07	0.917
2B1	100	72	C	9.30E+06	1.11E+06	8.19E+06	0.881
2B1	100	96	C	7.70E+06	1.15E+06	6.55E+06	0.851
2B1	100	120	C	3.10E+06	9.70E+05	2.13E+06	0.687
2B1	100	144	C	2.37E+06	1.15E+06	1.22E+06	0.515
2B1	100	168	C	2.66E+06	1.10E+06	1.56E+06	0.586
2B1	100	192	C	2.83E+06	1.09E+06	1.74E+06	0.615
2B1	100	0	D	3.40E+07	0.00E+00	3.40E+07	1.000
2B1	100	12	D	1.10E+07	0.00E+00	1.10E+07	1.000
2B1	100	24	D	1.12E+07	0.00E+00	1.12E+07	1.000
2B1	100	36	D	1.13E+07	5.80E+04	1.12E+07	0.995
2B1	100	48	D	1.18E+07	8.00E+05	1.10E+07	0.932
2B1	100	60	D	1.41E+07	9.00E+05	1.32E+07	0.936
2B1	100	72	D	8.10E+06	8.80E+05	7.22E+06	0.891
2B1	100	96	D	4.80E+06	6.60E+05	4.14E+06	0.863
2B1	100	120	D	5.80E+06	1.02E+06	4.78E+06	0.824
2B1	100	144	D	2.89E+06	1.06E+06	1.83E+06	0.633
2B1	100	168	D	2.80E+06	9.90E+05	1.81E+06	0.646
2B1	100	192	D	3.00E+06	1.09E+06	1.91E+06	0.637
